geography_code,geography,discovery_year_role
1,Alabama,eligible_in_frozen_2024_graph_database
2,Alaska,eligible_in_frozen_2024_graph_database
4,Arizona,eligible_in_frozen_2024_graph_database
5,Arkansas,eligible_in_frozen_2024_graph_database
6,California,eligible_in_frozen_2024_graph_database
8,Colorado,eligible_in_frozen_2024_graph_database
9,Connecticut,eligible_in_frozen_2024_graph_database
10,Delaware,eligible_in_frozen_2024_graph_database
12,Florida,eligible_in_frozen_2024_graph_database
13,Georgia,eligible_in_frozen_2024_graph_database
15,Hawaii,eligible_in_frozen_2024_graph_database
16,Idaho,eligible_in_frozen_2024_graph_database
17,Illinois,eligible_in_frozen_2024_graph_database
18,Indiana,eligible_in_frozen_2024_graph_database
19,Iowa,eligible_in_frozen_2024_graph_database
20,Kansas,eligible_in_frozen_2024_graph_database
21,Kentucky,eligible_in_frozen_2024_graph_database
22,Louisiana,eligible_in_frozen_2024_graph_database
23,Maine,eligible_in_frozen_2024_graph_database
24,Maryland,eligible_in_frozen_2024_graph_database
25,Massachusetts,eligible_in_frozen_2024_graph_database
26,Michigan,eligible_in_frozen_2024_graph_database
27,Minnesota,eligible_in_frozen_2024_graph_database
29,Missouri,eligible_in_frozen_2024_graph_database
30,Montana,eligible_in_frozen_2024_graph_database
31,Nebraska,eligible_in_frozen_2024_graph_database
33,New Hampshire,eligible_in_frozen_2024_graph_database
34,New Jersey,eligible_in_frozen_2024_graph_database
35,New Mexico,eligible_in_frozen_2024_graph_database
36,New York,eligible_in_frozen_2024_graph_database
37,North Carolina,eligible_in_frozen_2024_graph_database
38,North Dakota,eligible_in_frozen_2024_graph_database
39,Ohio,eligible_in_frozen_2024_graph_database
40,Oklahoma,eligible_in_frozen_2024_graph_database
41,Oregon,eligible_in_frozen_2024_graph_database
42,Pennsylvania,eligible_in_frozen_2024_graph_database
44,Rhode Island,eligible_in_frozen_2024_graph_database
45,South Carolina,eligible_in_frozen_2024_graph_database
46,South Dakota,eligible_in_frozen_2024_graph_database
48,Texas,eligible_in_frozen_2024_graph_database
49,Utah,eligible_in_frozen_2024_graph_database
50,Vermont,eligible_in_frozen_2024_graph_database
51,Virginia,eligible_in_frozen_2024_graph_database
53,Washington,eligible_in_frozen_2024_graph_database
54,West Virginia,eligible_in_frozen_2024_graph_database
55,Wisconsin,eligible_in_frozen_2024_graph_database
56,Wyoming,eligible_in_frozen_2024_graph_database
