geography_code,geography,target_year_role
1,Alabama,eligible_if_both_ses_strata_pass_frozen_rules
2,Alaska,eligible_if_both_ses_strata_pass_frozen_rules
4,Arizona,eligible_if_both_ses_strata_pass_frozen_rules
5,Arkansas,eligible_if_both_ses_strata_pass_frozen_rules
6,California,eligible_if_both_ses_strata_pass_frozen_rules
8,Colorado,eligible_if_both_ses_strata_pass_frozen_rules
9,Connecticut,eligible_if_both_ses_strata_pass_frozen_rules
10,Delaware,eligible_if_both_ses_strata_pass_frozen_rules
11,District of Columbia,eligible_if_both_ses_strata_pass_frozen_rules
12,Florida,eligible_if_both_ses_strata_pass_frozen_rules
13,Georgia,eligible_if_both_ses_strata_pass_frozen_rules
15,Hawaii,eligible_if_both_ses_strata_pass_frozen_rules
16,Idaho,eligible_if_both_ses_strata_pass_frozen_rules
17,Illinois,eligible_if_both_ses_strata_pass_frozen_rules
18,Indiana,eligible_if_both_ses_strata_pass_frozen_rules
19,Iowa,eligible_if_both_ses_strata_pass_frozen_rules
20,Kansas,eligible_if_both_ses_strata_pass_frozen_rules
21,Kentucky,eligible_if_both_ses_strata_pass_frozen_rules
22,Louisiana,eligible_if_both_ses_strata_pass_frozen_rules
23,Maine,eligible_if_both_ses_strata_pass_frozen_rules
24,Maryland,eligible_if_both_ses_strata_pass_frozen_rules
25,Massachusetts,eligible_if_both_ses_strata_pass_frozen_rules
26,Michigan,eligible_if_both_ses_strata_pass_frozen_rules
27,Minnesota,eligible_if_both_ses_strata_pass_frozen_rules
28,Mississippi,eligible_if_both_ses_strata_pass_frozen_rules
29,Missouri,eligible_if_both_ses_strata_pass_frozen_rules
30,Montana,eligible_if_both_ses_strata_pass_frozen_rules
31,Nebraska,eligible_if_both_ses_strata_pass_frozen_rules
32,Nevada,eligible_if_both_ses_strata_pass_frozen_rules
33,New Hampshire,eligible_if_both_ses_strata_pass_frozen_rules
34,New Jersey,eligible_if_both_ses_strata_pass_frozen_rules
35,New Mexico,eligible_if_both_ses_strata_pass_frozen_rules
36,New York,eligible_if_both_ses_strata_pass_frozen_rules
37,North Carolina,eligible_if_both_ses_strata_pass_frozen_rules
38,North Dakota,eligible_if_both_ses_strata_pass_frozen_rules
39,Ohio,eligible_if_both_ses_strata_pass_frozen_rules
40,Oklahoma,eligible_if_both_ses_strata_pass_frozen_rules
41,Oregon,eligible_if_both_ses_strata_pass_frozen_rules
42,Pennsylvania,eligible_if_both_ses_strata_pass_frozen_rules
44,Rhode Island,eligible_if_both_ses_strata_pass_frozen_rules
45,South Carolina,eligible_if_both_ses_strata_pass_frozen_rules
46,South Dakota,eligible_if_both_ses_strata_pass_frozen_rules
47,Tennessee,eligible_if_both_ses_strata_pass_frozen_rules
48,Texas,eligible_if_both_ses_strata_pass_frozen_rules
49,Utah,eligible_if_both_ses_strata_pass_frozen_rules
50,Vermont,eligible_if_both_ses_strata_pass_frozen_rules
51,Virginia,eligible_if_both_ses_strata_pass_frozen_rules
53,Washington,eligible_if_both_ses_strata_pass_frozen_rules
54,West Virginia,eligible_if_both_ses_strata_pass_frozen_rules
55,Wisconsin,eligible_if_both_ses_strata_pass_frozen_rules
56,Wyoming,eligible_if_both_ses_strata_pass_frozen_rules
