graph_id,candidate_edge_count,valid_edge_count,minimum_positive_stability,median_positive_stability,mean_positive_stability,stable_edge_count
2024_01_education_binary_higher,28,28,0.98,1.0,0.99875,28
2024_01_education_binary_lower,19,19,0.995,1.0,0.9994736842105262,19
2024_02_education_binary_higher,26,26,0.985,1.0,0.9986538461538461,26
2024_02_education_binary_lower,21,21,0.985,1.0,0.9966666666666667,21
2024_04_education_binary_higher,26,26,0.975,1.0,0.9982692307692307,26
2024_04_education_binary_lower,21,21,0.98,1.0,0.9959523809523809,21
2024_05_education_binary_higher,36,36,0.97,1.0,0.9968055555555555,36
2024_05_education_binary_lower,33,33,0.965,1.0,0.9965151515151515,33
2024_06_education_binary_higher,37,37,0.98,1.0,0.9985135135135135,37
2024_06_education_binary_lower,24,24,0.97,1.0,0.9960416666666667,24
2024_08_education_binary_higher,36,36,0.975,1.0,0.9979166666666666,36
2024_08_education_binary_lower,34,34,0.98,1.0,0.9973529411764704,34
2024_09_education_binary_higher,30,30,0.985,1.0,0.9983333333333333,30
2024_09_education_binary_lower,18,18,0.99,1.0,0.9980555555555556,18
2024_10_education_binary_higher,29,29,0.96,1.0,0.996551724137931,29
2024_10_education_binary_lower,14,14,0.98,1.0,0.9978571428571429,14
2024_12_education_binary_higher,36,36,0.98,1.0,0.9984722222222222,36
2024_12_education_binary_lower,26,26,0.97,1.0,0.9965384615384616,26
2024_13_education_binary_higher,33,33,0.96,1.0,0.9975757575757577,33
2024_13_education_binary_lower,29,29,0.99,1.0,0.9986206896551725,29
2024_15_education_binary_higher,33,33,0.975,1.0,0.9963636363636365,33
2024_15_education_binary_lower,25,25,0.935,1.0,0.9906,25
2024_16_education_binary_higher,25,25,0.98,1.0,0.9965999999999999,25
2024_16_education_binary_lower,24,24,0.945,0.995,0.993125,24
2024_17_education_binary_higher,39,39,0.98,1.0,0.998974358974359,39
2024_17_education_binary_lower,36,36,0.99,1.0,0.9991666666666666,36
2024_18_education_binary_higher,36,36,0.985,1.0,0.9988888888888889,36
2024_18_education_binary_lower,38,38,0.965,1.0,0.9978947368421053,38
2024_19_education_binary_higher,32,32,0.98,1.0,0.99796875,32
2024_19_education_binary_lower,29,29,0.975,1.0,0.9972413793103448,29
2024_20_education_binary_higher,34,34,0.99,1.0,0.9991176470588234,34
2024_20_education_binary_lower,32,32,0.985,1.0,0.99828125,32
2024_21_education_binary_higher,34,34,0.97,1.0,0.9974999999999999,34
2024_21_education_binary_lower,38,38,0.985,1.0,0.9984210526315789,38
2024_22_education_binary_higher,29,29,0.975,1.0,0.9975862068965518,29
2024_22_education_binary_lower,30,30,0.97,1.0,0.995,30
2024_23_education_binary_higher,38,38,0.985,1.0,0.9994736842105262,38
2024_23_education_binary_lower,38,38,0.975,1.0,0.9982894736842106,38
2024_24_education_binary_higher,33,33,0.985,1.0,0.9983333333333333,33
2024_24_education_binary_lower,26,26,0.99,1.0,0.9988461538461538,26
2024_25_education_binary_higher,36,36,0.99,1.0,0.9994444444444444,36
2024_25_education_binary_lower,33,33,0.975,1.0,0.995909090909091,33
2024_26_education_binary_higher,36,36,0.975,1.0,0.9983333333333333,36
2024_26_education_binary_lower,30,30,0.975,1.0,0.9986666666666667,30
2024_27_education_binary_higher,37,37,0.985,1.0,0.9987837837837837,37
2024_27_education_binary_lower,35,35,0.96,1.0,0.9957142857142858,35
2024_29_education_binary_higher,31,31,0.96,1.0,0.9958064516129033,31
2024_29_education_binary_lower,31,31,0.975,1.0,0.9977419354838709,31
2024_30_education_binary_higher,32,32,0.96,1.0,0.9975,32
2024_30_education_binary_lower,31,31,0.975,1.0,0.9959677419354839,31
2024_31_education_binary_higher,33,33,0.995,1.0,0.9998484848484848,33
2024_31_education_binary_lower,38,38,0.975,1.0,0.9976315789473683,38
2024_33_education_binary_higher,30,30,0.945,1.0,0.9946666666666667,30
2024_33_education_binary_lower,24,24,0.965,1.0,0.9960416666666667,24
2024_34_education_binary_higher,28,28,0.96,1.0,0.9946428571428572,28
2024_34_education_binary_lower,23,23,0.975,1.0,0.9952173913043478,23
2024_35_education_binary_higher,19,19,0.99,1.0,0.9981578947368421,19
2024_35_education_binary_lower,16,16,0.985,1.0,0.996875,16
2024_36_education_binary_higher,39,39,0.995,1.0,0.9997435897435898,39
2024_36_education_binary_lower,38,38,0.975,1.0,0.9984210526315789,38
2024_37_education_binary_higher,26,26,0.98,1.0,0.9969230769230768,26
2024_37_education_binary_lower,15,15,0.98,1.0,0.998,15
2024_38_education_binary_higher,32,32,0.97,1.0,0.9978125,32
2024_38_education_binary_lower,30,30,0.98,1.0,0.9968333333333333,30
2024_39_education_binary_higher,34,34,0.97,1.0,0.998529411764706,34
2024_39_education_binary_lower,35,35,0.985,1.0,0.9987142857142857,35
