graph_id,source_condition,target_condition,weighted_phi,n_complete,source_cases,target_cases,cooccurring_cases,kish_effective_n,edge_present_phi_008,edge_present_phi_012,edge_present_adjusted_fdr,edge_present_adjusted_stable,odds_ratio,reverse_odds_ratio,confidence_low,confidence_high,q_value,direction_concordant,positive_stability,stability_wilson_low,stability_wilson_high,bootstrap_replicates_valid
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,STROKE,0.30257634581674653,2488,193,122,49,1445.2274520594772,True,True,True,True,11.21216453575472,11.26315595584834,6.357377881504142,19.774289954129838,2.4631372033804577e-15,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,0.07316034411655019,2474,194,214,27,1431.999989937597,False,False,True,True,2.6352744041304503,2.8443287692426806,1.311217899237481,5.296351726973552,0.015471979181719817,True,0.99,0.9642782382838231,0.9972533418664555,200.0
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,0.07288246400721844,2480,192,103,21,1439.8242518262598,False,False,False,False,1.7452449950845719,1.6863868020489527,0.8154497088501517,3.7352151332087327,0.21285989186061513,True,,,,
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.06403738380152837,2482,195,160,27,1439.847137665181,False,False,False,False,1.3361066348002484,1.3379521723952137,0.7243631094460556,2.464483511484221,0.4544360653282213,True,,,,
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,COPD,0.12030581071063758,2487,195,152,36,1442.4567099489416,True,True,True,True,3.1071414459896,3.0977259510317032,1.7427642295022452,5.539663829423316,0.00042846577210280763,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.08544928396122319,2478,195,405,48,1434.1468510240563,True,False,True,True,3.234886793132253,3.3603401501518144,1.951747903125388,5.361600515939828,3.0116152664210044e-05,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.0726020333432151,2489,194,117,34,1443.9412192626442,False,False,False,False,2.0365083795526364,2.0060898382662478,1.0741668632445185,3.8610075602788405,0.05076995298529327,True,,,,
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.15001810029909166,2477,192,604,96,1437.064009827446,True,True,True,True,1.935225962204417,1.9636811595240822,1.189988139802323,3.1471738242804066,0.0175730693230818,True,0.995,0.9722262956021069,0.9991168312843989,200.0
2024_06_education_binary_lower,ISCHEMIC_HEART_DISEASE,DIABETES,0.163505352710953,2480,193,398,76,1439.510943588662,True,True,True,True,2.5102385134756617,2.504418886121523,1.612333990320807,3.9081836842518918,0.00019271260594172658,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,STROKE,CURRENT_ASTHMA,0.11701470917341676,2502,126,219,21,1449.3233445806502,True,False,True,True,4.4670998050618556,4.631660867868153,2.1287812289469383,9.37389920440764,0.0002892071728201586,True,1.0,0.9811546736227335,1.0,200.0
