condition,california_weighted_prevalence,peer_median_weighted_prevalence,peer_robust_prevalence_z,california_n_valid,california_cases,california_node_kish_effective_n
ISCHEMIC_HEART_DISEASE,0.04774392730754452,0.0798044908918297,-1.69536838721414,2494,195,1446.8288419789205
STROKE,0.03205112733624061,0.04051425720845766,-0.9666138948515237,2523,126,1464.9087342456671
CURRENT_ASTHMA,0.06906108696612365,0.10755991946461163,-2.277578423389644,2513,221,1454.1334862922997
SKIN_CANCER,0.023753456453494165,0.043808057150650864,-2.0668546469033307,2519,104,1461.726491479731
OTHER_CANCER,0.046354454785462317,0.07741231151514624,-2.672988271974315,2521,163,1462.1288606509477
COPD,0.0360540752431489,0.08292481597408438,-1.6848097612093456,2528,155,1466.0965029039417
DEPRESSIVE_DISORDER,0.1513573008663692,0.23486356956640042,-1.7312602489598596,2517,413,1457.034081346542
KIDNEY_DISEASE,0.03743520772592529,0.043948443183431204,-0.5383323057679646,2528,120,1465.2742529568695
ARTHRITIS,0.17214692549694177,0.2690207158780484,-2.354683755725988,2513,616,1457.2034378499668
DIABETES,0.1461040626563327,0.13851627320938706,0.29454421648244794,2521,411,1462.8381173080293
