ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,STROKE,94,93,0.9893617021276596
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,75,0.7978723404255319
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,24,0.2553191489361702
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,50,0.5319148936170213
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,COPD,94,91,0.9680851063829787
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,84,0.8936170212765957
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,87,0.925531914893617
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,85,0.9042553191489362
education_binary,adjusted_fdr,ISCHEMIC_HEART_DISEASE,DIABETES,94,90,0.9574468085106383
education_binary,adjusted_fdr,STROKE,CURRENT_ASTHMA,94,57,0.6063829787234043
education_binary,adjusted_fdr,STROKE,SKIN_CANCER,94,7,0.07446808510638298
education_binary,adjusted_fdr,STROKE,OTHER_CANCER,94,27,0.2872340425531915
education_binary,adjusted_fdr,STROKE,COPD,94,74,0.7872340425531915
education_binary,adjusted_fdr,STROKE,DEPRESSIVE_DISORDER,94,78,0.8297872340425532
education_binary,adjusted_fdr,STROKE,KIDNEY_DISEASE,94,75,0.7978723404255319
education_binary,adjusted_fdr,STROKE,ARTHRITIS,94,61,0.648936170212766
education_binary,adjusted_fdr,STROKE,DIABETES,94,72,0.7659574468085106
education_binary,adjusted_fdr,CURRENT_ASTHMA,SKIN_CANCER,94,13,0.13829787234042554
education_binary,adjusted_fdr,CURRENT_ASTHMA,OTHER_CANCER,94,27,0.2872340425531915
education_binary,adjusted_fdr,CURRENT_ASTHMA,COPD,94,94,1.0
education_binary,adjusted_fdr,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,94,93,0.9893617021276596
education_binary,adjusted_fdr,CURRENT_ASTHMA,KIDNEY_DISEASE,94,47,0.5
education_binary,adjusted_fdr,CURRENT_ASTHMA,ARTHRITIS,94,90,0.9574468085106383
education_binary,adjusted_fdr,CURRENT_ASTHMA,DIABETES,94,68,0.723404255319149
education_binary,adjusted_fdr,SKIN_CANCER,OTHER_CANCER,94,93,0.9893617021276596
education_binary,adjusted_fdr,SKIN_CANCER,COPD,94,14,0.14893617021276595
education_binary,adjusted_fdr,SKIN_CANCER,DEPRESSIVE_DISORDER,94,17,0.18085106382978725
education_binary,adjusted_fdr,SKIN_CANCER,KIDNEY_DISEASE,94,21,0.22340425531914893
education_binary,adjusted_fdr,SKIN_CANCER,ARTHRITIS,94,44,0.46808510638297873
education_binary,adjusted_fdr,SKIN_CANCER,DIABETES,94,0,0.0
education_binary,adjusted_fdr,OTHER_CANCER,COPD,94,59,0.6276595744680851
education_binary,adjusted_fdr,OTHER_CANCER,DEPRESSIVE_DISORDER,94,46,0.48936170212765956
education_binary,adjusted_fdr,OTHER_CANCER,KIDNEY_DISEASE,94,64,0.6808510638297872
