graph_id,geography_code,geography,ses_category,edge_count,density,mean_same_ses_jaccard,median_same_ses_jaccard,mean_same_ses_density_adjusted_z,robust_similarity_z,robust_density_adjusted_similarity_z,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,ses_definition,rule_id
2024_46_education_binary_higher,46,South Dakota,higher,10,0.2222222222222222,0.3020778145236318,0.29411764705882354,2.1817637637943195,-10.653974591568117,-2.853633365619436,4085,440365.4332388571,671.7238562297061,40,4085,education_binary,adjusted_fdr
2024_46_education_binary_lower,46,South Dakota,lower,14,0.3111111111111111,0.35192285197732376,0.34285714285714286,1.5591279382790357,-4.505758289543236,-2.8715386372998175,1742,275346.20757370605,295.6681344471387,40,1742,education_binary,adjusted_fdr
2024_42_education_binary_lower,42,Pennsylvania,lower,13,0.28888888888888886,0.38199167966844444,0.3771551724137931,2.3647919254467946,-4.01376842765116,-1.338194372034875,1270,4440885.492662115,672.6166465977429,29,1270,education_binary,adjusted_fdr
2024_10_education_binary_lower,10,Delaware,lower,14,0.3111111111111111,0.41710670760591795,0.4127789046653144,2.6191893608755192,-3.439212015849456,-0.8540237315126005,1349,328777.7729671034,650.6073209753836,12,1349,education_binary,adjusted_fdr
2024_37_education_binary_lower,37,North Carolina,lower,15,0.3333333333333333,0.42919303944439885,0.41801075268817206,2.562832401524564,-3.241453965782477,-0.9612826158675281,1342,3247399.289531606,924.8797638796066,13,1342,education_binary,adjusted_fdr
2024_01_education_binary_lower,1,Alabama,lower,19,0.4222222222222222,0.46461658727848804,0.46153846153846156,2.186544936579959,-2.6618495134357234,-1.677435051192594,1747,1767123.4791202508,1029.0643566588815,32,1747,education_binary,adjusted_fdr
2024_35_education_binary_lower,35,New Mexico,lower,16,0.35555555555555557,0.4724049468372467,0.4642857142857143,3.0895098018293528,-2.534415415138268,0.0410927965435008,1136,680870.8672405959,542.8621097429867,22,1136,education_binary,adjusted_fdr
2024_04_education_binary_lower,4,Arizona,lower,21,0.4666666666666667,0.5021392736840586,0.5064102564102564,2.3685838289115733,-2.0478986972571516,-1.3309775998758062,2555,2192780.438675736,777.6595660941617,40,2555,education_binary,adjusted_fdr
2024_09_education_binary_lower,9,Connecticut,lower,18,0.4,0.5040765144511822,0.5,3.0924092127238088,-2.016201325239211,0.046610971785874,1958,1038049.0971058925,996.1355979004968,35,1958,education_binary,adjusted_fdr
2024_06_education_binary_lower,6,California,lower,24,0.5333333333333333,0.5297927291101332,0.5508620689655173,2.2087396821740906,-1.5954294538376372,-1.6351938856225492,2536,11454238.772285284,1471.1327463442656,28,2536,education_binary,adjusted_fdr
