graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_01_education_binary_higher__adjusted_fdr,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,28,0.6222222222222222,2,0,5.6,7,0.9615384615384616,2024_01_education_binary_higher,education_binary,adjusted_fdr
2024_01_education_binary_higher__adjusted_stable,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,28,0.6222222222222222,2,0,5.6,7,0.9615384615384616,2024_01_education_binary_higher,education_binary,adjusted_stable
2024_01_education_binary_higher__phi_008,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,28,0.6222222222222222,1,0,5.6,9,0.7142857142857143,2024_01_education_binary_higher,education_binary,phi_008
2024_01_education_binary_higher__phi_012,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,19,0.4222222222222222,1,0,3.8,7,0.5373134328358209,2024_01_education_binary_higher,education_binary,phi_012
2024_01_education_binary_lower__adjusted_fdr,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,19,0.4222222222222222,1,0,3.8,6,0.5294117647058824,2024_01_education_binary_lower,education_binary,adjusted_fdr
2024_01_education_binary_lower__adjusted_stable,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,19,0.4222222222222222,1,0,3.8,6,0.5294117647058824,2024_01_education_binary_lower,education_binary,adjusted_stable
2024_01_education_binary_lower__phi_008,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,27,0.6,1,0,5.4,9,0.6716417910447762,2024_01_education_binary_lower,education_binary,phi_008
2024_01_education_binary_lower__phi_012,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,19,0.4222222222222222,1,0,3.8,8,0.5217391304347826,2024_01_education_binary_lower,education_binary,phi_012
2024_01_income_binary_higher__adjusted_fdr,2024,1,Alabama,higher,2276,1827875.596769203,1485.8740080589046,10,22,0.4888888888888889,1,0,4.4,7,0.6333333333333333,2024_01_income_binary_higher,income_binary,adjusted_fdr
2024_01_income_binary_higher__phi_008,2024,1,Alabama,higher,2276,1827875.596769203,1485.8740080589046,10,26,0.5777777777777777,1,0,5.2,9,0.6850393700787402,2024_01_income_binary_higher,income_binary,phi_008
2024_01_income_binary_higher__phi_012,2024,1,Alabama,higher,2276,1827875.596769203,1485.8740080589046,10,16,0.35555555555555557,1,0,3.2,7,0.3125,2024_01_income_binary_higher,income_binary,phi_012
2024_01_income_binary_lower__adjusted_fdr,2024,1,Alabama,lower,1742,1409436.9500555396,963.6414566336706,10,21,0.4666666666666667,1,0,4.2,7,0.38961038961038963,2024_01_income_binary_lower,income_binary,adjusted_fdr
2024_01_income_binary_lower__phi_008,2024,1,Alabama,lower,1742,1409436.9500555396,963.6414566336706,10,25,0.5555555555555556,1,0,5.0,8,0.6982758620689655,2024_01_income_binary_lower,income_binary,phi_008
2024_01_income_binary_lower__phi_012,2024,1,Alabama,lower,1742,1409436.9500555396,963.6414566336706,10,19,0.4222222222222222,1,0,3.8,7,0.5294117647058824,2024_01_income_binary_lower,income_binary,phi_012
2024_02_education_binary_higher__adjusted_fdr,2024,2,Alaska,higher,3800,346527.81918179826,1563.6091266389528,10,26,0.5777777777777777,1,0,5.2,7,0.7674418604651163,2024_02_education_binary_higher,education_binary,adjusted_fdr
2024_02_education_binary_higher__adjusted_stable,2024,2,Alaska,higher,3800,346527.81918179826,1563.6091266389528,10,26,0.5777777777777777,1,0,5.2,7,0.7674418604651163,2024_02_education_binary_higher,education_binary,adjusted_stable
2024_02_education_binary_higher__phi_008,2024,2,Alaska,higher,3800,346527.81918179826,1563.6091266389528,10,24,0.5333333333333333,1,0,4.8,8,0.6605504587155964,2024_02_education_binary_higher,education_binary,phi_008
2024_02_education_binary_higher__phi_012,2024,2,Alaska,higher,3800,346527.81918179826,1563.6091266389528,10,13,0.28888888888888886,2,1,2.6,5,0.5294117647058824,2024_02_education_binary_higher,education_binary,phi_012
2024_02_education_binary_lower__adjusted_fdr,2024,2,Alaska,lower,1665,213654.9352923655,751.919291347211,10,21,0.4666666666666667,1,0,4.2,6,0.6144578313253012,2024_02_education_binary_lower,education_binary,adjusted_fdr
2024_02_education_binary_lower__adjusted_stable,2024,2,Alaska,lower,1665,213654.9352923655,751.919291347211,10,21,0.4666666666666667,1,0,4.2,6,0.6144578313253012,2024_02_education_binary_lower,education_binary,adjusted_stable
2024_02_education_binary_lower__phi_008,2024,2,Alaska,lower,1665,213654.9352923655,751.919291347211,10,30,0.6666666666666666,1,0,6.0,8,0.7037037037037037,2024_02_education_binary_lower,education_binary,phi_008
2024_02_education_binary_lower__phi_012,2024,2,Alaska,lower,1665,213654.9352923655,751.919291347211,10,21,0.4666666666666667,1,0,4.2,8,0.5930232558139535,2024_02_education_binary_lower,education_binary,phi_012
2024_02_income_binary_higher__adjusted_fdr,2024,2,Alaska,higher,3080,310320.9540284643,1374.9159371491664,10,21,0.4666666666666667,2,0,4.2,7,0.75,2024_02_income_binary_higher,income_binary,adjusted_fdr
2024_02_income_binary_higher__phi_008,2024,2,Alaska,higher,3080,310320.9540284643,1374.9159371491664,10,26,0.5777777777777777,1,0,5.2,8,0.672,2024_02_income_binary_higher,income_binary,phi_008
2024_02_income_binary_higher__phi_012,2024,2,Alaska,higher,3080,310320.9540284643,1374.9159371491664,10,15,0.3333333333333333,1,0,3.0,6,0.47368421052631576,2024_02_income_binary_higher,income_binary,phi_012
2024_02_income_binary_lower__adjusted_fdr,2024,2,Alaska,lower,1430,143100.32835141305,551.5525528648475,10,21,0.4666666666666667,1,0,4.2,6,0.6,2024_02_income_binary_lower,income_binary,adjusted_fdr
2024_02_income_binary_lower__phi_008,2024,2,Alaska,lower,1430,143100.32835141305,551.5525528648475,10,30,0.6666666666666666,1,0,6.0,9,0.7941176470588235,2024_02_income_binary_lower,income_binary,phi_008
2024_02_income_binary_lower__phi_012,2024,2,Alaska,lower,1430,143100.32835141305,551.5525528648475,10,21,0.4666666666666667,1,0,4.2,6,0.6144578313253012,2024_02_income_binary_lower,income_binary,phi_012
2024_04_education_binary_higher__adjusted_fdr,2024,4,Arizona,higher,5993,3760062.140502301,1895.3198772378423,10,26,0.5777777777777777,1,0,5.2,9,0.6412213740458015,2024_04_education_binary_higher,education_binary,adjusted_fdr
2024_04_education_binary_higher__adjusted_stable,2024,4,Arizona,higher,5993,3760062.140502301,1895.3198772378423,10,26,0.5777777777777777,1,0,5.2,9,0.6412213740458015,2024_04_education_binary_higher,education_binary,adjusted_stable
2024_04_education_binary_higher__phi_008,2024,4,Arizona,higher,5993,3760062.140502301,1895.3198772378423,10,26,0.5777777777777777,1,0,5.2,9,0.7099236641221374,2024_04_education_binary_higher,education_binary,phi_008
2024_04_education_binary_higher__phi_012,2024,4,Arizona,higher,5993,3760062.140502301,1895.3198772378423,10,16,0.35555555555555557,2,1,3.2,6,0.6,2024_04_education_binary_higher,education_binary,phi_012
2024_04_education_binary_lower__adjusted_fdr,2024,4,Arizona,lower,2555,2192780.438675736,777.6595660941617,10,21,0.4666666666666667,1,0,4.2,9,0.5581395348837209,2024_04_education_binary_lower,education_binary,adjusted_fdr
2024_04_education_binary_lower__adjusted_stable,2024,4,Arizona,lower,2555,2192780.438675736,777.6595660941617,10,21,0.4666666666666667,1,0,4.2,9,0.5581395348837209,2024_04_education_binary_lower,education_binary,adjusted_stable
2024_04_education_binary_lower__phi_008,2024,4,Arizona,lower,2555,2192780.438675736,777.6595660941617,10,24,0.5333333333333333,1,0,4.8,8,0.5887850467289719,2024_04_education_binary_lower,education_binary,phi_008
2024_04_education_binary_lower__phi_012,2024,4,Arizona,lower,2555,2192780.438675736,777.6595660941617,10,15,0.3333333333333333,2,1,3.0,6,0.5510204081632653,2024_04_education_binary_lower,education_binary,phi_012
2024_04_income_binary_higher__adjusted_fdr,2024,4,Arizona,higher,3869,2881001.1717422483,1264.5731053336278,10,18,0.4,2,1,3.6,5,0.5084745762711864,2024_04_income_binary_higher,income_binary,adjusted_fdr
2024_04_income_binary_higher__phi_008,2024,4,Arizona,higher,3869,2881001.1717422483,1264.5731053336278,10,22,0.4888888888888889,1,0,4.4,8,0.65625,2024_04_income_binary_higher,income_binary,phi_008
2024_04_income_binary_higher__phi_012,2024,4,Arizona,higher,3869,2881001.1717422483,1264.5731053336278,10,16,0.35555555555555557,2,1,3.2,6,0.5660377358490566,2024_04_income_binary_higher,income_binary,phi_012
2024_04_income_binary_lower__adjusted_fdr,2024,4,Arizona,lower,3052,1884418.4622512264,867.2252906480702,10,25,0.5555555555555556,1,0,5.0,8,0.7016129032258065,2024_04_income_binary_lower,income_binary,adjusted_fdr
2024_04_income_binary_lower__phi_008,2024,4,Arizona,lower,3052,1884418.4622512264,867.2252906480702,10,28,0.6222222222222222,1,0,5.6,9,0.6891891891891891,2024_04_income_binary_lower,income_binary,phi_008
2024_04_income_binary_lower__phi_012,2024,4,Arizona,lower,3052,1884418.4622512264,867.2252906480702,10,20,0.4444444444444444,1,0,4.0,7,0.6,2024_04_income_binary_lower,income_binary,phi_012
2024_05_education_binary_higher__adjusted_fdr,2024,5,Arkansas,higher,3210,1273916.8807018145,1995.8277397641612,10,36,0.8,1,0,7.2,9,0.864406779661017,2024_05_education_binary_higher,education_binary,adjusted_fdr
2024_05_education_binary_higher__adjusted_stable,2024,5,Arkansas,higher,3210,1273916.8807018145,1995.8277397641612,10,36,0.8,1,0,7.2,9,0.864406779661017,2024_05_education_binary_higher,education_binary,adjusted_stable
2024_05_education_binary_higher__phi_008,2024,5,Arkansas,higher,3210,1273916.8807018145,1995.8277397641612,10,30,0.6666666666666666,1,0,6.0,9,0.7544910179640718,2024_05_education_binary_higher,education_binary,phi_008
2024_05_education_binary_higher__phi_012,2024,5,Arkansas,higher,3210,1273916.8807018145,1995.8277397641612,10,20,0.4444444444444444,1,0,4.0,9,0.525,2024_05_education_binary_higher,education_binary,phi_012
2024_05_education_binary_lower__adjusted_fdr,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,33,0.7333333333333333,1,0,6.6,9,0.8719211822660099,2024_05_education_binary_lower,education_binary,adjusted_fdr
2024_05_education_binary_lower__adjusted_stable,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,33,0.7333333333333333,1,0,6.6,9,0.8719211822660099,2024_05_education_binary_lower,education_binary,adjusted_stable
2024_05_education_binary_lower__phi_008,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,33,0.7333333333333333,1,0,6.6,9,0.78,2024_05_education_binary_lower,education_binary,phi_008
2024_05_education_binary_lower__phi_012,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,25,0.5555555555555556,1,0,5.0,8,0.675,2024_05_education_binary_lower,education_binary,phi_012
2024_05_income_binary_higher__adjusted_fdr,2024,5,Arkansas,higher,2145,991492.4312387338,1378.167926158787,10,22,0.4888888888888889,1,0,4.4,8,0.5666666666666667,2024_05_income_binary_higher,income_binary,adjusted_fdr
2024_05_income_binary_higher__phi_008,2024,5,Arkansas,higher,2145,991492.4312387338,1378.167926158787,10,24,0.5333333333333333,1,0,4.8,8,0.6545454545454545,2024_05_income_binary_higher,income_binary,phi_008
2024_05_income_binary_higher__phi_012,2024,5,Arkansas,higher,2145,991492.4312387338,1378.167926158787,10,14,0.3111111111111111,2,1,2.8,7,0.391304347826087,2024_05_income_binary_higher,income_binary,phi_012
2024_05_income_binary_lower__adjusted_fdr,2024,5,Arkansas,lower,2169,973845.4766279169,1252.6076307704868,10,33,0.7333333333333333,1,0,6.6,9,0.8719211822660099,2024_05_income_binary_lower,income_binary,adjusted_fdr
2024_05_income_binary_lower__phi_008,2024,5,Arkansas,lower,2169,973845.4766279169,1252.6076307704868,10,33,0.7333333333333333,1,0,6.6,9,0.7684729064039408,2024_05_income_binary_lower,income_binary,phi_008
2024_05_income_binary_lower__phi_012,2024,5,Arkansas,lower,2169,973845.4766279169,1252.6076307704868,10,24,0.5333333333333333,1,0,4.8,9,0.6106194690265486,2024_05_income_binary_lower,income_binary,phi_012
2024_06_education_binary_higher__adjusted_fdr,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,37,0.8222222222222222,1,0,7.4,9,0.8536585365853658,2024_06_education_binary_higher,education_binary,adjusted_fdr
2024_06_education_binary_higher__adjusted_stable,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,37,0.8222222222222222,1,0,7.4,9,0.8536585365853658,2024_06_education_binary_higher,education_binary,adjusted_stable
2024_06_education_binary_higher__phi_008,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,29,0.6444444444444445,1,0,5.8,9,0.7692307692307693,2024_06_education_binary_higher,education_binary,phi_008
2024_06_education_binary_higher__phi_012,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,20,0.4444444444444444,1,0,4.0,8,0.6153846153846154,2024_06_education_binary_higher,education_binary,phi_012
2024_06_education_binary_lower__adjusted_fdr,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,24,0.5333333333333333,1,0,4.8,8,0.6285714285714286,2024_06_education_binary_lower,education_binary,adjusted_fdr
2024_06_education_binary_lower__adjusted_stable,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,24,0.5333333333333333,1,0,4.8,8,0.6285714285714286,2024_06_education_binary_lower,education_binary,adjusted_stable
2024_06_education_binary_lower__phi_008,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,21,0.4666666666666667,1,0,4.2,6,0.52,2024_06_education_binary_lower,education_binary,phi_008
2024_06_education_binary_lower__phi_012,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,15,0.3333333333333333,1,0,3.0,6,0.43902439024390244,2024_06_education_binary_lower,education_binary,phi_012
2024_06_income_binary_higher__adjusted_fdr,2024,6,California,higher,3740,13895553.697232518,1802.1727285509733,10,23,0.5111111111111111,1,0,4.6,7,0.5,2024_06_income_binary_higher,income_binary,adjusted_fdr
2024_06_income_binary_higher__phi_008,2024,6,California,higher,3740,13895553.697232518,1802.1727285509733,10,25,0.5555555555555556,1,0,5.0,9,0.6982758620689655,2024_06_income_binary_higher,income_binary,phi_008
2024_06_income_binary_higher__phi_012,2024,6,California,higher,3740,13895553.697232518,1802.1727285509733,10,15,0.3333333333333333,2,1,3.0,7,0.44680851063829785,2024_06_income_binary_higher,income_binary,phi_012
2024_06_income_binary_lower__adjusted_fdr,2024,6,California,lower,2715,9383685.7977519,1431.4019850408517,10,28,0.6222222222222222,1,0,5.6,7,0.7655172413793103,2024_06_income_binary_lower,income_binary,adjusted_fdr
2024_06_income_binary_lower__phi_008,2024,6,California,lower,2715,9383685.7977519,1431.4019850408517,10,32,0.7111111111111111,1,0,6.4,9,0.7258064516129032,2024_06_income_binary_lower,income_binary,phi_008
2024_06_income_binary_lower__phi_012,2024,6,California,lower,2715,9383685.7977519,1431.4019850408517,10,21,0.4666666666666667,1,0,4.2,9,0.5862068965517241,2024_06_income_binary_lower,income_binary,phi_012
2024_08_education_binary_higher__adjusted_fdr,2024,8,Colorado,higher,8211,3308692.8095656955,6048.286811060391,10,36,0.8,1,0,7.2,9,0.8275862068965517,2024_08_education_binary_higher,education_binary,adjusted_fdr
