rule_id,geography_code,ses_category,primary_ses_definition,sensitivity_ses_definition,primary_edge_count,sensitivity_edge_count,edge_jaccard,density_adjusted_jaccard_z,density_null_expected_jaccard
adjusted_fdr,1,higher,education_binary,income_binary,28,22,0.6666666666666666,4.564104639890165,0.3798288792216175
adjusted_fdr,1,lower,education_binary,income_binary,19,21,0.6666666666666666,5.41700030358367,0.28853379616610164
adjusted_fdr,2,higher,education_binary,income_binary,26,21,0.8076923076923077,7.0029261995280185,0.35111108373904437
adjusted_fdr,2,lower,education_binary,income_binary,21,21,0.75,6.391590776171546,0.3079643469682081
adjusted_fdr,4,higher,education_binary,income_binary,26,18,0.5714285714285714,4.010606112234611,0.3126684355807208
adjusted_fdr,4,lower,education_binary,income_binary,21,25,0.6428571428571429,4.526122662487077,0.34304277378473724
adjusted_fdr,5,higher,education_binary,income_binary,36,22,0.6111111111111112,3.5923658454574032,0.4372666882498593
adjusted_fdr,5,lower,education_binary,income_binary,33,33,0.9411764705882353,7.129295178779036,0.5805512465283522
adjusted_fdr,6,higher,education_binary,income_binary,37,23,0.6216216216216216,3.456372125057713,0.46170735218111164
adjusted_fdr,6,lower,education_binary,income_binary,24,28,0.7333333333333333,5.233347218293725,0.40564424080690414
adjusted_fdr,8,higher,education_binary,income_binary,36,31,0.8108108108108109,4.648920253729204,0.5890962816425839
adjusted_fdr,8,lower,education_binary,income_binary,34,33,0.717948717948718,2.510610452996415,0.5942190674181678
adjusted_fdr,9,higher,education_binary,income_binary,30,14,0.4666666666666667,3.5880672330942804,0.27154915040639227
adjusted_fdr,9,lower,education_binary,income_binary,18,18,0.8947368421052632,8.938723187042248,0.2540391790222897
adjusted_fdr,10,higher,education_binary,income_binary,29,18,0.6206896551724138,4.83555530131342,0.3303764010550545
adjusted_fdr,10,lower,education_binary,income_binary,14,16,0.6666666666666666,6.311615914484893,0.2033289655350892
adjusted_fdr,12,higher,education_binary,income_binary,36,26,0.631578947368421,2.539573202568837,0.5064555691211658
adjusted_fdr,12,lower,education_binary,income_binary,26,29,0.71875,4.57321401952625,0.44066315564941344
adjusted_fdr,13,higher,education_binary,income_binary,33,20,0.6060606060606061,4.098736055520853,0.38470584014576686
adjusted_fdr,13,lower,education_binary,income_binary,29,33,0.7714285714285715,4.572804777023137,0.5240002230594215
adjusted_fdr,15,higher,education_binary,income_binary,33,24,0.6764705882352942,4.116300787865406,0.44879860322952486
adjusted_fdr,15,lower,education_binary,income_binary,25,19,0.6923076923076923,5.648617859872413,0.31889755551977955
adjusted_fdr,16,higher,education_binary,income_binary,25,13,0.46153846153846156,3.6226367643629445,0.2377168681912964
adjusted_fdr,16,lower,education_binary,income_binary,24,24,0.6,3.5323132439111777,0.3667959556799721
adjusted_fdr,17,higher,education_binary,income_binary,39,33,0.8,3.556838555673925,0.6599112035043754
adjusted_fdr,17,lower,education_binary,income_binary,36,38,0.7619047619047619,1.6464155634005369,0.698121203474026
adjusted_fdr,18,higher,education_binary,income_binary,36,33,0.8157894736842105,4.226846254986201,0.6210153836834554
adjusted_fdr,18,lower,education_binary,income_binary,38,38,0.8536585365853658,3.433760170410715,0.7314910032445645
adjusted_fdr,19,higher,education_binary,income_binary,32,23,0.6666666666666666,4.233151731207673,0.42549426605186375
adjusted_fdr,19,lower,education_binary,income_binary,29,32,0.7941176470588235,5.06672222238129,0.5127536203729912
adjusted_fdr,20,higher,education_binary,income_binary,34,34,0.8378378378378378,4.770328551178073,0.608564933279622
adjusted_fdr,20,lower,education_binary,income_binary,32,32,0.8285714285714286,5.199142782953787,0.5535098394808282
adjusted_fdr,21,higher,education_binary,income_binary,34,26,0.7142857142857143,4.222712436701113,0.4886881500121258
adjusted_fdr,21,lower,education_binary,income_binary,38,33,0.8205128205128205,4.136567246595431,0.647114798824781
adjusted_fdr,22,higher,education_binary,income_binary,29,23,0.7333333333333333,5.3940846467879116,0.4013670841618219
adjusted_fdr,22,lower,education_binary,income_binary,30,25,0.71875,4.695888941304766,0.43726335656728776
adjusted_fdr,23,higher,education_binary,income_binary,38,35,0.8717948717948718,4.765497677750729,0.6812472392571122
adjusted_fdr,23,lower,education_binary,income_binary,38,37,0.9736842105263158,6.942040069346415,0.7148687041630595
adjusted_fdr,24,higher,education_binary,income_binary,33,30,0.8529411764705882,5.8832329375881205,0.5384272237281283
adjusted_fdr,24,lower,education_binary,income_binary,26,27,0.7096774193548387,4.620164284343495,0.41986025286932466
adjusted_fdr,25,higher,education_binary,income_binary,36,35,0.8205128205128205,3.841330026958574,0.652310872680965
adjusted_fdr,25,lower,education_binary,income_binary,33,32,0.7567567567567568,3.6757615723279047,0.5666990498897182
adjusted_fdr,26,higher,education_binary,income_binary,36,23,0.6388888888888888,3.7736151840989653,0.4548298768707431
adjusted_fdr,26,lower,education_binary,income_binary,30,31,0.7941176470588235,4.994802267948184,0.5144492878114311
adjusted_fdr,27,higher,education_binary,income_binary,37,34,0.8205128205128205,3.936791279154726,0.6505750612998599
adjusted_fdr,27,lower,education_binary,income_binary,35,35,0.8421052631578947,4.512082753949619,0.6376050707327974
adjusted_fdr,29,higher,education_binary,income_binary,31,25,0.696969696969697,4.2778479632390045,0.44647888289990584
adjusted_fdr,29,lower,education_binary,income_binary,31,27,0.7575757575757576,4.8878194566760085,0.47434071549533946
adjusted_fdr,30,higher,education_binary,income_binary,32,22,0.6363636363636364,3.9855683477485577,0.41015043787269817
adjusted_fdr,30,lower,education_binary,income_binary,31,24,0.7741935483870968,5.830224024197823,0.43219481708434765
adjusted_fdr,31,higher,education_binary,income_binary,33,33,0.8857142857142857,6.032848616403404,0.5805512465283522
adjusted_fdr,31,lower,education_binary,income_binary,38,39,0.8780487804878049,3.8723266749682566,0.7479893481044281
adjusted_fdr,33,higher,education_binary,income_binary,30,26,0.6,2.503383822355501,0.45070801657387555
adjusted_fdr,33,lower,education_binary,income_binary,24,19,0.6538461538461539,5.090572970126477,0.31172584560939853
adjusted_fdr,34,higher,education_binary,income_binary,28,19,0.5666666666666667,3.6642209053093224,0.33893488395065174
adjusted_fdr,34,lower,education_binary,income_binary,23,25,0.6551724137931034,4.396144736305996,0.3659167197183948
adjusted_fdr,35,higher,education_binary,income_binary,19,10,0.45,4.125767660018456,0.17415098745842073
adjusted_fdr,35,lower,education_binary,income_binary,16,24,0.48148148148148145,3.130424560758006,0.27458041582092363
adjusted_fdr,36,higher,education_binary,income_binary,39,36,0.9230769230769231,5.752320584968316,0.7130972518368605
adjusted_fdr,36,lower,education_binary,income_binary,38,39,0.925,5.2702295906402234,0.7479893481044281
adjusted_fdr,37,higher,education_binary,income_binary,26,12,0.4074074074074074,3.090346645529257,0.22597013548182934
adjusted_fdr,37,lower,education_binary,income_binary,15,23,0.46153846153846156,3.0762502530026468,0.25625450122857674
adjusted_fdr,38,higher,education_binary,income_binary,32,23,0.6176470588235294,3.3727405180036993,0.42549426605186375
adjusted_fdr,38,lower,education_binary,income_binary,30,30,0.8181818181818182,5.543036512407644,0.5021458505050668
adjusted_fdr,39,higher,education_binary,income_binary,34,30,0.7777777777777778,4.38410509219465,0.5501119774828572
adjusted_fdr,39,lower,education_binary,income_binary,35,29,0.8285714285714286,5.573974608468198,0.5458863167475027
adjusted_fdr,40,higher,education_binary,income_binary,33,22,0.6176470588235294,3.6509055311967407,0.4172095977299585
adjusted_fdr,40,lower,education_binary,income_binary,27,29,0.8666666666666667,6.8570438188845415,0.45325786098958076
adjusted_fdr,41,higher,education_binary,income_binary,35,25,0.6666666666666666,3.60483089555724,0.4812276881522507
adjusted_fdr,41,lower,education_binary,income_binary,29,31,0.7647058823529411,4.6384542328805205,0.5012973375873865
adjusted_fdr,42,higher,education_binary,income_binary,31,18,0.5806451612903226,4.235051417988107,0.34117085197555513
adjusted_fdr,42,lower,education_binary,income_binary,13,16,0.6111111111111112,5.693672581999447,0.19401494496394092
adjusted_fdr,44,higher,education_binary,income_binary,31,20,0.5,2.2057595307626108,0.37256733759098976
adjusted_fdr,44,lower,education_binary,income_binary,21,13,0.5454545454545454,4.793242296769118,0.22089127501646164
adjusted_fdr,45,higher,education_binary,income_binary,35,31,0.8333333333333334,5.169860730293024,0.5771400429491229
adjusted_fdr,45,lower,education_binary,income_binary,31,30,0.90625,6.9974561694770046,0.5144492878114311
adjusted_fdr,46,higher,education_binary,income_binary,10,6,0.3333333333333333,3.1814476598179895,0.09577002233115266
adjusted_fdr,46,lower,education_binary,income_binary,14,11,0.6666666666666666,6.7757832852829365,0.16322880396711903
adjusted_fdr,48,higher,education_binary,income_binary,35,34,0.9166666666666666,6.30074458514412,0.6227376061460562
adjusted_fdr,48,lower,education_binary,income_binary,18,21,0.625,4.960013422778756,0.27828629426051166
adjusted_fdr,49,higher,education_binary,income_binary,37,30,0.8108108108108109,4.9197925657922585,0.5840076113762033
adjusted_fdr,49,lower,education_binary,income_binary,28,35,0.8,5.285144433970684,0.5299947718761391
adjusted_fdr,50,higher,education_binary,income_binary,29,21,0.6666666666666666,4.772764325244529,0.3738356504037282
adjusted_fdr,50,lower,education_binary,income_binary,26,25,0.7586206896551724,5.625074209816383,0.39805033625156816
adjusted_fdr,51,higher,education_binary,income_binary,32,20,0.625,4.401427418348835,0.37872997354305077
adjusted_fdr,51,lower,education_binary,income_binary,26,26,0.7333333333333333,5.107650769427756,0.4090855700357655
adjusted_fdr,53,higher,education_binary,income_binary,40,39,0.926829268292683,4.885559060658879,0.7824379337709473
adjusted_fdr,53,lower,education_binary,income_binary,34,35,0.8648648648648649,5.190306843379809,0.6227376061460563
adjusted_fdr,54,higher,education_binary,income_binary,33,32,0.8571428571428571,5.617252797691485,0.5666990498897182
adjusted_fdr,54,lower,education_binary,income_binary,34,29,0.8,5.046057360067931,0.5350426743646899
adjusted_fdr,55,higher,education_binary,income_binary,37,29,0.7368421052631579,3.654409039087934,0.566997657915781
adjusted_fdr,55,lower,education_binary,income_binary,36,34,0.9444444444444444,6.833886664870332,0.6367400235593758
adjusted_fdr,56,higher,education_binary,income_binary,30,21,0.6451612903225806,4.415710359802963,0.3809537301859457
adjusted_fdr,56,lower,education_binary,income_binary,25,30,0.7741935483870968,5.620823576080429,0.43726335656728776
phi_008,1,higher,education_binary,income_binary,28,26,0.8620689655172413,6.98094820499194,0.4303832796968456
phi_008,1,lower,education_binary,income_binary,27,25,0.6774193548387096,4.25503531765849,0.40822359540908065
phi_008,2,higher,education_binary,income_binary,24,26,0.7857142857142857,6.1776981776776525,0.38674524489308926
phi_008,2,lower,education_binary,income_binary,30,30,0.7647058823529411,4.605108253755079,0.5021458505050668
phi_008,4,higher,education_binary,income_binary,26,22,0.8461538461538461,7.413561888506202,0.363286063220356
phi_008,4,lower,education_binary,income_binary,24,28,0.7931034482758621,6.187903753453195,0.40564424080690414
phi_008,5,higher,education_binary,income_binary,30,24,0.8,6.261714887412143,0.42357225608782634
phi_008,5,lower,education_binary,income_binary,33,33,0.8857142857142857,6.032848616403404,0.5805512465283522
phi_008,6,higher,education_binary,income_binary,29,25,0.8620689655172413,7.096883574483239,0.4278212183055901
phi_008,6,lower,education_binary,income_binary,21,32,0.6060606060606061,3.7487406210121827,0.3945641623937836
phi_008,8,higher,education_binary,income_binary,28,25,0.8275862068965517,6.572628771037974,0.41814419003283654
phi_008,8,lower,education_binary,income_binary,31,32,0.8529411764705882,5.799687092205629,0.5401253241712797
phi_008,9,higher,education_binary,income_binary,22,20,0.75,6.427459456639008,0.3070424809010717
phi_008,9,lower,education_binary,income_binary,25,27,0.8571428571428571,7.095829880461898,0.40822359540908065
phi_008,10,higher,education_binary,income_binary,27,24,0.8888888888888888,7.736889910259618,0.39632088219479106
phi_008,10,lower,education_binary,income_binary,29,28,0.8387096774193549,6.256651527027624,0.46561215981337006
phi_008,12,higher,education_binary,income_binary,29,26,0.7741935483870968,5.484998298168693,0.44066315564941344
phi_008,12,lower,education_binary,income_binary,33,36,0.8157894736842105,4.226846254986201,0.6210153836834554
phi_008,13,higher,education_binary,income_binary,27,20,0.7407407407407407,6.18163072184063,0.345864601456169
phi_008,13,lower,education_binary,income_binary,31,33,0.8823529411764706,6.260683950238535,0.5526589226802545
phi_008,15,higher,education_binary,income_binary,23,18,0.7083333333333334,6.10270219734705,0.2928552856534145
phi_008,15,lower,education_binary,income_binary,26,25,0.7586206896551724,5.625074209816383,0.39805033625156816
phi_008,16,higher,education_binary,income_binary,29,20,0.6333333333333333,4.48261179040272,0.3596460196557928
phi_008,16,lower,education_binary,income_binary,30,32,0.8787878787878788,6.4267250641525955,0.5265413424953871
phi_008,17,higher,education_binary,income_binary,30,23,0.7666666666666667,5.9353288859062125,0.4096281692057874
phi_008,17,lower,education_binary,income_binary,29,31,0.9354838709677419,7.645744238898318,0.5012973375873865
phi_008,18,higher,education_binary,income_binary,27,29,0.9310344827586207,7.924686620410126,0.45325786098958076
phi_008,18,lower,education_binary,income_binary,30,32,0.8235294117647058,5.418536371192422,0.5265413424953871
phi_008,19,higher,education_binary,income_binary,24,19,0.6538461538461539,5.090572970126477,0.31172584560939853
phi_008,19,lower,education_binary,income_binary,27,27,0.8620689655172413,6.94270377989351,0.4312394265002325
phi_008,20,higher,education_binary,income_binary,27,25,0.8571428571428571,7.095829880461898,0.40822359540908065
phi_008,20,lower,education_binary,income_binary,29,33,0.8787878787878788,6.5569474865646065,0.5240002230594215
phi_008,21,higher,education_binary,income_binary,30,28,0.9333333333333333,7.787876268562691,0.4768831370201405
phi_008,21,lower,education_binary,income_binary,39,35,0.85,4.1051322765962395,0.6954825663815267
phi_008,22,higher,education_binary,income_binary,27,22,0.8148148148148148,6.918366328755133,0.3716811223895945
phi_008,22,lower,education_binary,income_binary,29,28,0.9,7.284458393250681,0.46561215981337006
phi_008,23,higher,education_binary,income_binary,29,24,0.8275862068965517,6.720482794226592,0.41472497337646363
phi_008,23,lower,education_binary,income_binary,29,28,0.9655172413793104,8.383148491627054,0.46561215981337006
phi_008,24,higher,education_binary,income_binary,23,19,0.75,6.53609773668672,0.30428499756687655
phi_008,24,lower,education_binary,income_binary,26,24,0.8518518518518519,7.201782454901531,0.38674524489308915
phi_008,25,higher,education_binary,income_binary,29,25,0.7419354838709677,5.133549652510396,0.4278212183055901
phi_008,25,lower,education_binary,income_binary,32,33,0.8055555555555556,4.619542029101868,0.5666990498897182
phi_008,26,higher,education_binary,income_binary,27,25,0.7333333333333333,5.138838070530661,0.40822359540908065
phi_008,26,lower,education_binary,income_binary,26,27,0.7666666666666667,5.528667007679888,0.41986025286932466
phi_008,27,higher,education_binary,income_binary,27,23,0.8518518518518519,7.316250382790282,0.38414316953936584
phi_008,27,lower,education_binary,income_binary,29,26,0.896551724137931,7.497211878620982,0.44066315564941344
phi_008,29,higher,education_binary,income_binary,25,23,0.8461538461538461,7.298704775065378,0.3659167197183948
phi_008,29,lower,education_binary,income_binary,32,30,0.8787878787878788,6.426725064152598,0.526541342495387
phi_008,30,higher,education_binary,income_binary,24,25,0.75,5.7076162958265275,0.37690716923811185
phi_008,30,lower,education_binary,income_binary,34,27,0.7941176470588235,5.44192769982089,0.5043341392030594
phi_008,31,higher,education_binary,income_binary,27,23,0.7857142857142857,6.281676914582787,0.38414316953936584
phi_008,31,lower,education_binary,income_binary,34,34,0.8888888888888888,5.832513752982598,0.608564933279622
phi_008,33,higher,education_binary,income_binary,22,22,0.76,6.349827469223068,0.32699752952569583
phi_008,33,lower,education_binary,income_binary,28,23,0.7586206896551724,5.824011939997832,0.3928752931424883
phi_008,34,higher,education_binary,income_binary,23,18,0.782608695652174,7.1936874355879405,0.2928552856534145
phi_008,34,lower,education_binary,income_binary,25,30,0.7741935483870968,5.620823576080429,0.43726335656728776
phi_008,35,higher,education_binary,income_binary,20,20,0.6666666666666666,5.384000090033226,0.2894753721225243
phi_008,35,lower,education_binary,income_binary,24,28,0.7333333333333333,5.233347218293725,0.40564424080690414
phi_008,36,higher,education_binary,income_binary,26,17,0.5925925925925926,4.585704203968258,0.2991738678457913
phi_008,36,lower,education_binary,income_binary,25,30,0.7741935483870968,5.620823576080429,0.43726335656728776
phi_008,37,higher,education_binary,income_binary,27,20,0.7407407407407407,6.18163072184063,0.345864601456169
phi_008,37,lower,education_binary,income_binary,32,32,0.8285714285714286,5.199142782953787,0.5535098394808282
phi_008,38,higher,education_binary,income_binary,28,25,0.8275862068965517,6.572628771037974,0.41814419003283654
phi_008,38,lower,education_binary,income_binary,33,32,0.9117647058823529,6.67365243502167,0.5666990498897182
