comparison_type,pair_count,mean_jaccard,median_jaccard,standard_deviation,minimum_jaccard,maximum_jaccard,mean_density_adjusted_z,median_density_adjusted_z,ses_definition,rule_id
cross_ses_cross_state,2162,0.6469768658446429,0.6666666666666666,0.14799183957544038,0.2222222222222222,0.9736842105263158,3.183024542618005,3.1613420930616254,education_binary,adjusted_fdr
same_ses_cross_state,2162,0.6640192032816937,0.696969696969697,0.1501735680909508,0.25,0.975,3.369750898931283,3.3527046085787315,education_binary,adjusted_fdr
within_state_different_ses,47,0.6922728696093652,0.7073170731707317,0.15146650148953233,0.3333333333333333,0.9487179487179487,3.676693243365965,3.396300603536819,education_binary,adjusted_fdr
cross_ses_cross_state,2162,0.6469768658446429,0.6666666666666666,0.14799183957544038,0.2222222222222222,0.9736842105263158,3.183024542618005,3.1613420930616254,education_binary,adjusted_stable
same_ses_cross_state,2162,0.6640192032816937,0.696969696969697,0.1501735680909508,0.25,0.975,3.369750898931283,3.3527046085787315,education_binary,adjusted_stable
within_state_different_ses,47,0.6922728696093652,0.7073170731707317,0.15146650148953233,0.3333333333333333,0.9487179487179487,3.676693243365965,3.396300603536819,education_binary,adjusted_stable
cross_ses_cross_state,2162,0.7486844512464993,0.75,0.0928013505722831,0.40625,0.9629629629629629,5.142602866181557,5.2930825899435066,education_binary,phi_008
same_ses_cross_state,2162,0.7612812971132475,0.7666666666666667,0.09133081228002786,0.42105263157894735,1.0,5.285366764585249,5.418183672212317,education_binary,phi_008
within_state_different_ses,47,0.7608198669731717,0.7586206896551724,0.09967259110635172,0.47058823529411764,0.9333333333333333,5.308849151141227,5.478575730669148,education_binary,phi_008
cross_ses_cross_state,2162,0.6084122542074288,0.6111111111111112,0.10338546937471707,0.28,0.9523809523809523,5.151390057063937,5.149206653281408,education_binary,phi_012
same_ses_cross_state,2162,0.6543603119085376,0.6538461538461539,0.10637649257324719,0.2916666666666667,1.0,5.639639403497846,5.606193950709922,education_binary,phi_012
within_state_different_ses,47,0.6208432663288161,0.631578947368421,0.11234508655393825,0.34615384615384615,0.8260869565217391,5.298029604400145,5.149902209048022,education_binary,phi_012
cross_ses_cross_state,2256,0.5594143455954692,0.5675675675675675,0.13582005260722554,0.15151515151515152,0.9705882352941176,2.859741541506711,2.8127883022533626,income_binary,adjusted_fdr
same_ses_cross_state,2256,0.5742922565045683,0.5833333333333334,0.1367872025458222,0.15384615384615385,0.9230769230769231,3.0708104054148797,3.025089960707656,income_binary,adjusted_fdr
within_state_different_ses,48,0.6134039870429485,0.6388888888888888,0.13779462720833974,0.3076923076923077,0.9230769230769231,3.3348244715226456,3.266092332537209,income_binary,adjusted_fdr
cross_ses_cross_state,2256,0.6663370110893705,0.6666666666666666,0.08835631824755993,0.4117647058823529,0.9655172413793104,4.390093541357623,4.34037497572519,income_binary,phi_008
same_ses_cross_state,2256,0.7143752979208748,0.72,0.08974293430759477,0.3793103448275862,1.0,4.893630010955085,4.901511404735199,income_binary,phi_008
within_state_different_ses,48,0.6802067126497482,0.676944971537002,0.08568180949872795,0.5161290322580645,0.8888888888888888,4.582783589537137,4.362938803124082,income_binary,phi_008
cross_ses_cross_state,2256,0.5189796836852308,0.5217391304347826,0.1043911291129105,0.2,0.8636363636363636,4.381534257177274,4.3879239279061855,income_binary,phi_012
same_ses_cross_state,2256,0.6110879107332952,0.6190476190476191,0.11939244449180728,0.17647058823529413,0.9473684210526315,5.249555373564676,5.236195377950026,income_binary,phi_012
within_state_different_ses,48,0.5240944615007339,0.5384615384615384,0.08605824367919723,0.2962962962962963,0.6956521739130435,4.451585349150973,4.552388532549767,income_binary,phi_012
