ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,STROKE,94,94,1.0
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,6,0.06382978723404255
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,42,0.44680851063829785
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,68,0.723404255319149
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,COPD,94,93,0.9893617021276596
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,3,0.031914893617021274
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,89,0.9468085106382979
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,94,1.0
education_binary,phi_010,ISCHEMIC_HEART_DISEASE,DIABETES,94,94,1.0
education_binary,phi_010,STROKE,CURRENT_ASTHMA,94,10,0.10638297872340426
education_binary,phi_010,STROKE,SKIN_CANCER,94,7,0.07446808510638298
education_binary,phi_010,STROKE,OTHER_CANCER,94,24,0.2553191489361702
education_binary,phi_010,STROKE,COPD,94,59,0.6276595744680851
education_binary,phi_010,STROKE,DEPRESSIVE_DISORDER,94,2,0.02127659574468085
education_binary,phi_010,STROKE,KIDNEY_DISEASE,94,42,0.44680851063829785
education_binary,phi_010,STROKE,ARTHRITIS,94,70,0.7446808510638298
education_binary,phi_010,STROKE,DIABETES,94,65,0.6914893617021277
education_binary,phi_010,CURRENT_ASTHMA,SKIN_CANCER,94,0,0.0
education_binary,phi_010,CURRENT_ASTHMA,OTHER_CANCER,94,0,0.0
education_binary,phi_010,CURRENT_ASTHMA,COPD,94,93,0.9893617021276596
education_binary,phi_010,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,94,84,0.8936170212765957
education_binary,phi_010,CURRENT_ASTHMA,KIDNEY_DISEASE,94,1,0.010638297872340425
education_binary,phi_010,CURRENT_ASTHMA,ARTHRITIS,94,70,0.7446808510638298
education_binary,phi_010,CURRENT_ASTHMA,DIABETES,94,7,0.07446808510638298
education_binary,phi_010,SKIN_CANCER,OTHER_CANCER,94,94,1.0
education_binary,phi_010,SKIN_CANCER,COPD,94,13,0.13829787234042554
education_binary,phi_010,SKIN_CANCER,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_010,SKIN_CANCER,KIDNEY_DISEASE,94,10,0.10638297872340426
education_binary,phi_010,SKIN_CANCER,ARTHRITIS,94,89,0.9468085106382979
education_binary,phi_010,SKIN_CANCER,DIABETES,94,5,0.05319148936170213
education_binary,phi_010,OTHER_CANCER,COPD,94,52,0.5531914893617021
education_binary,phi_010,OTHER_CANCER,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_010,OTHER_CANCER,KIDNEY_DISEASE,94,56,0.5957446808510638
education_binary,phi_010,OTHER_CANCER,ARTHRITIS,94,93,0.9893617021276596
education_binary,phi_010,OTHER_CANCER,DIABETES,94,30,0.3191489361702128
education_binary,phi_010,COPD,DEPRESSIVE_DISORDER,94,68,0.723404255319149
education_binary,phi_010,COPD,KIDNEY_DISEASE,94,41,0.43617021276595747
education_binary,phi_010,COPD,ARTHRITIS,94,94,1.0
education_binary,phi_010,COPD,DIABETES,94,52,0.5531914893617021
education_binary,phi_010,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,3,0.031914893617021274
education_binary,phi_010,DEPRESSIVE_DISORDER,ARTHRITIS,94,58,0.6170212765957447
education_binary,phi_010,DEPRESSIVE_DISORDER,DIABETES,94,2,0.02127659574468085
education_binary,phi_010,KIDNEY_DISEASE,ARTHRITIS,94,89,0.9468085106382979
education_binary,phi_010,KIDNEY_DISEASE,DIABETES,94,93,0.9893617021276596
education_binary,phi_010,ARTHRITIS,DIABETES,94,94,1.0
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,STROKE,94,92,0.9787234042553191
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,2,0.02127659574468085
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,19,0.20212765957446807
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,38,0.40425531914893614
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,COPD,94,87,0.925531914893617
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,79,0.8404255319148937
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,93,0.9893617021276596
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,DIABETES,94,93,0.9893617021276596
education_binary,phi_012,STROKE,CURRENT_ASTHMA,94,4,0.0425531914893617
education_binary,phi_012,STROKE,SKIN_CANCER,94,4,0.0425531914893617
education_binary,phi_012,STROKE,OTHER_CANCER,94,13,0.13829787234042554
education_binary,phi_012,STROKE,COPD,94,38,0.40425531914893614
education_binary,phi_012,STROKE,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_012,STROKE,KIDNEY_DISEASE,94,27,0.2872340425531915
education_binary,phi_012,STROKE,ARTHRITIS,94,46,0.48936170212765956
education_binary,phi_012,STROKE,DIABETES,94,39,0.4148936170212766
education_binary,phi_012,CURRENT_ASTHMA,SKIN_CANCER,94,0,0.0
education_binary,phi_012,CURRENT_ASTHMA,OTHER_CANCER,94,0,0.0
education_binary,phi_012,CURRENT_ASTHMA,COPD,94,90,0.9574468085106383
education_binary,phi_012,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,94,81,0.8617021276595744
education_binary,phi_012,CURRENT_ASTHMA,KIDNEY_DISEASE,94,0,0.0
education_binary,phi_012,CURRENT_ASTHMA,ARTHRITIS,94,39,0.4148936170212766
education_binary,phi_012,CURRENT_ASTHMA,DIABETES,94,4,0.0425531914893617
education_binary,phi_012,SKIN_CANCER,OTHER_CANCER,94,94,1.0
education_binary,phi_012,SKIN_CANCER,COPD,94,7,0.07446808510638298
education_binary,phi_012,SKIN_CANCER,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_012,SKIN_CANCER,KIDNEY_DISEASE,94,5,0.05319148936170213
education_binary,phi_012,SKIN_CANCER,ARTHRITIS,94,77,0.8191489361702128
education_binary,phi_012,SKIN_CANCER,DIABETES,94,3,0.031914893617021274
education_binary,phi_012,OTHER_CANCER,COPD,94,35,0.3723404255319149
education_binary,phi_012,OTHER_CANCER,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_012,OTHER_CANCER,KIDNEY_DISEASE,94,28,0.2978723404255319
education_binary,phi_012,OTHER_CANCER,ARTHRITIS,94,90,0.9574468085106383
education_binary,phi_012,OTHER_CANCER,DIABETES,94,12,0.1276595744680851
education_binary,phi_012,COPD,DEPRESSIVE_DISORDER,94,38,0.40425531914893614
education_binary,phi_012,COPD,KIDNEY_DISEASE,94,23,0.24468085106382978
education_binary,phi_012,COPD,ARTHRITIS,94,94,1.0
education_binary,phi_012,COPD,DIABETES,94,29,0.30851063829787234
education_binary,phi_012,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,1,0.010638297872340425
education_binary,phi_012,DEPRESSIVE_DISORDER,ARTHRITIS,94,40,0.425531914893617
