graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_01_education_binary_higher__phi_010,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,22,0.4888888888888889,1,0,4.4,9,0.6,2024_01_education_binary_higher,education_binary,phi_010
2024_01_education_binary_higher__phi_012,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,19,0.4222222222222222,1,0,3.8,7,0.5373134328358209,2024_01_education_binary_higher,education_binary,phi_012
2024_01_education_binary_higher__phi_012_stable,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,11,0.24444444444444444,2,0,2.2,5,0.42857142857142855,2024_01_education_binary_higher,education_binary,phi_012_stable
2024_01_education_binary_higher__phi_014,2024,1,Alabama,higher,3331,2289224.873411157,2127.1728106886994,10,12,0.26666666666666666,2,0,2.4,5,0.5,2024_01_education_binary_higher,education_binary,phi_014
2024_01_education_binary_lower__phi_010,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,22,0.4888888888888889,1,0,4.4,9,0.5806451612903226,2024_01_education_binary_lower,education_binary,phi_010
2024_01_education_binary_lower__phi_012,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,19,0.4222222222222222,1,0,3.8,8,0.5217391304347826,2024_01_education_binary_lower,education_binary,phi_012
2024_01_education_binary_lower__phi_012_stable,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,13,0.28888888888888886,1,0,2.6,6,0.3870967741935484,2024_01_education_binary_lower,education_binary,phi_012_stable
2024_01_education_binary_lower__phi_014,2024,1,Alabama,lower,1747,1767123.4791202508,1029.0643566588815,10,17,0.37777777777777777,1,0,3.4,7,0.5094339622641509,2024_01_education_binary_lower,education_binary,phi_014
2024_02_education_binary_higher__phi_010,2024,2,Alaska,higher,3800,346527.81918179826,1563.6091266389528,10,21,0.4666666666666667,1,0,4.2,7,0.6075949367088608,2024_02_education_binary_higher,education_binary,phi_010
2024_02_education_binary_higher__phi_012,2024,2,Alaska,higher,3800,346527.81918179826,1563.6091266389528,10,13,0.28888888888888886,2,1,2.6,5,0.5294117647058824,2024_02_education_binary_higher,education_binary,phi_012
