graph_id,raw_phi_012_edge_count,stable_phi_012_edge_count,raw_edge_stable_fraction,minimum_raw_edge_selection_stability,median_raw_edge_selection_stability
2024_01_education_binary_higher,19,11,0.5789473684210527,0.518,0.97
2024_01_education_binary_lower,19,13,0.6842105263157895,0.592,0.962
2024_02_education_binary_higher,13,7,0.5384615384615384,0.556,0.948
2024_02_education_binary_lower,21,7,0.3333333333333333,0.502,0.722
2024_04_education_binary_higher,16,9,0.5625,0.516,0.944
2024_04_education_binary_lower,15,9,0.6,0.702,0.962
2024_05_education_binary_higher,20,17,0.85,0.698,0.988
2024_05_education_binary_lower,25,15,0.6,0.564,0.944
2024_06_education_binary_higher,20,15,0.75,0.528,0.954
2024_06_education_binary_lower,15,7,0.4666666666666667,0.478,0.874
2024_08_education_binary_higher,16,12,0.75,0.548,0.999
2024_08_education_binary_lower,22,10,0.45454545454545453,0.484,0.819
2024_09_education_binary_higher,12,7,0.5833333333333334,0.606,0.9319999999999999
2024_09_education_binary_lower,17,8,0.47058823529411764,0.486,0.882
2024_10_education_binary_higher,20,10,0.5,0.458,0.892
2024_10_education_binary_lower,18,10,0.5555555555555556,0.53,0.923
2024_12_education_binary_higher,20,10,0.5,0.54,0.896
2024_12_education_binary_lower,25,12,0.48,0.536,0.788
2024_13_education_binary_higher,18,13,0.7222222222222222,0.612,0.995
2024_13_education_binary_lower,26,17,0.6538461538461539,0.502,0.99
2024_15_education_binary_higher,11,5,0.45454545454545453,0.564,0.88
2024_15_education_binary_lower,19,7,0.3684210526315789,0.468,0.716
2024_16_education_binary_higher,17,12,0.7058823529411765,0.47,0.954
2024_16_education_binary_lower,24,8,0.3333333333333333,0.516,0.841
2024_17_education_binary_higher,17,12,0.7058823529411765,0.704,1.0
2024_17_education_binary_lower,19,10,0.5263157894736842,0.548,0.978
2024_18_education_binary_higher,18,13,0.7222222222222222,0.598,0.999
2024_18_education_binary_lower,26,14,0.5384615384615384,0.458,0.996
2024_19_education_binary_higher,15,10,0.6666666666666666,0.476,1.0
2024_19_education_binary_lower,19,12,0.631578947368421,0.576,0.99
2024_20_education_binary_higher,16,12,0.75,0.478,0.986
2024_20_education_binary_lower,22,13,0.5909090909090909,0.662,0.986
2024_21_education_binary_higher,19,13,0.6842105263157895,0.52,0.984
2024_21_education_binary_lower,26,21,0.8076923076923077,0.564,0.995
2024_22_education_binary_higher,19,10,0.5263157894736842,0.544,0.958
2024_22_education_binary_lower,21,13,0.6190476190476191,0.51,0.952
2024_23_education_binary_higher,15,12,0.8,0.564,0.996
2024_23_education_binary_lower,25,17,0.68,0.518,0.97
2024_24_education_binary_higher,12,8,0.6666666666666666,0.714,0.995
2024_24_education_binary_lower,16,12,0.75,0.606,0.996
2024_25_education_binary_higher,12,8,0.6666666666666666,0.558,0.99
2024_25_education_binary_lower,21,10,0.47619047619047616,0.542,0.888
2024_26_education_binary_higher,17,13,0.7647058823529411,0.54,0.996
2024_26_education_binary_lower,20,17,0.85,0.594,0.998
2024_27_education_binary_higher,14,9,0.6428571428571429,0.684,0.992
2024_27_education_binary_lower,19,11,0.5789473684210527,0.504,0.92
2024_29_education_binary_higher,18,13,0.7222222222222222,0.492,0.973
2024_29_education_binary_lower,20,11,0.55,0.538,0.941
2024_30_education_binary_higher,13,4,0.3076923076923077,0.514,0.85
2024_30_education_binary_lower,26,13,0.5,0.526,0.898
2024_31_education_binary_higher,16,11,0.6875,0.492,0.996
2024_31_education_binary_lower,25,15,0.6,0.456,0.986
2024_33_education_binary_higher,14,8,0.5714285714285714,0.506,0.942
2024_33_education_binary_lower,16,7,0.4375,0.55,0.857
2024_34_education_binary_higher,10,7,0.7,0.572,0.979
2024_34_education_binary_lower,16,9,0.5625,0.558,0.94
2024_35_education_binary_higher,14,2,0.14285714285714285,0.532,0.8220000000000001
2024_35_education_binary_lower,17,9,0.5294117647058824,0.53,0.9
2024_36_education_binary_higher,14,13,0.9285714285714286,0.568,1.0
2024_36_education_binary_lower,18,15,0.8333333333333334,0.67,1.0
2024_37_education_binary_higher,18,9,0.5,0.51,0.9
2024_37_education_binary_lower,20,11,0.55,0.528,0.9299999999999999
2024_38_education_binary_higher,14,10,0.7142857142857143,0.634,0.991
2024_38_education_binary_lower,26,15,0.5769230769230769,0.468,0.952
2024_39_education_binary_higher,19,10,0.5263157894736842,0.568,0.94
2024_39_education_binary_lower,27,16,0.5925925925925926,0.516,0.922
2024_40_education_binary_higher,21,13,0.6190476190476191,0.528,0.962
2024_40_education_binary_lower,21,14,0.6666666666666666,0.554,0.958
2024_41_education_binary_higher,18,11,0.6111111111111112,0.614,0.973
2024_41_education_binary_lower,23,13,0.5652173913043478,0.656,0.958
2024_42_education_binary_higher,20,13,0.65,0.474,0.922
2024_42_education_binary_lower,18,8,0.4444444444444444,0.52,0.888
2024_44_education_binary_higher,16,10,0.625,0.678,0.976
2024_44_education_binary_lower,19,9,0.47368421052631576,0.496,0.836
2024_45_education_binary_higher,18,14,0.7777777777777778,0.556,0.988
2024_45_education_binary_lower,25,19,0.76,0.536,0.99
2024_46_education_binary_higher,19,5,0.2631578947368421,0.442,0.8
2024_46_education_binary_lower,16,6,0.375,0.45,0.838
2024_48_education_binary_higher,20,13,0.65,0.482,0.959
2024_48_education_binary_lower,17,13,0.7647058823529411,0.676,0.972
2024_49_education_binary_higher,14,11,0.7857142857142857,0.78,0.983
2024_49_education_binary_lower,16,11,0.6875,0.636,0.9299999999999999
2024_50_education_binary_higher,16,10,0.625,0.534,0.966
2024_50_education_binary_lower,21,12,0.5714285714285714,0.53,0.922
2024_51_education_binary_higher,17,14,0.8235294117647058,0.498,0.978
2024_51_education_binary_lower,21,12,0.5714285714285714,0.518,0.958
2024_53_education_binary_higher,14,11,0.7857142857142857,0.694,1.0
2024_53_education_binary_lower,17,12,0.7058823529411765,0.712,0.996
2024_54_education_binary_higher,15,13,0.8666666666666667,0.654,0.992
2024_54_education_binary_lower,20,14,0.7,0.55,0.983
2024_55_education_binary_higher,15,12,0.8,0.532,0.998
2024_55_education_binary_lower,20,11,0.55,0.642,0.918
2024_56_education_binary_higher,13,8,0.6153846153846154,0.464,0.966
2024_56_education_binary_lower,26,16,0.6153846153846154,0.516,0.946
