comparison_type,pair_count,mean_jaccard,median_jaccard,standard_deviation,minimum_jaccard,maximum_jaccard,mean_density_adjusted_z,median_density_adjusted_z,ses_definition,rule_id
cross_ses_cross_state,2162,0.6687325614788378,0.6666666666666666,0.091173292144536,0.34375,0.9615384615384616,5.058782416643322,5.070403940054023,education_binary,phi_010
same_ses_cross_state,2162,0.6937957279862292,0.6956521739130435,0.08633183348173697,0.3870967741935484,0.9230769230769231,5.30848269012632,5.36892264800363,education_binary,phi_010
within_state_different_ses,47,0.6845470927711601,0.6896551724137931,0.09891364005327478,0.43333333333333335,0.8620689655172413,5.288447951167999,5.246353434897904,education_binary,phi_010
cross_ses_cross_state,2162,0.6084122542074288,0.6111111111111112,0.10338546937471707,0.28,0.9523809523809523,5.151390057063937,5.149206653281408,education_binary,phi_012
same_ses_cross_state,2162,0.6543603119085376,0.6538461538461539,0.10637649257324719,0.2916666666666667,1.0,5.639639403497846,5.606193950709922,education_binary,phi_012
within_state_different_ses,47,0.6208432663288161,0.631578947368421,0.11234508655393825,0.34615384615384615,0.8260869565217391,5.298029604400145,5.149902209048022,education_binary,phi_012
cross_ses_cross_state,2162,0.5254932243833668,0.5384615384615384,0.15284371807461977,0.0,0.9285714285714286,5.232648459652909,5.27133060328809,education_binary,phi_012_stable
same_ses_cross_state,2162,0.547223688439865,0.5555555555555556,0.16236979390157186,0.09090909090909091,1.0,5.5042534998758565,5.474486589909798,education_binary,phi_012_stable
within_state_different_ses,47,0.5676007751735636,0.6,0.16701658701864522,0.16666666666666666,0.8823529411764706,5.699567670105279,6.019009529288449,education_binary,phi_012_stable
cross_ses_cross_state,2162,0.5651781902530267,0.5625,0.11704855838221973,0.1875,0.9285714285714286,5.3180758754650235,5.2761499258331055,education_binary,phi_014
same_ses_cross_state,2162,0.6055390801125584,0.6,0.1189103968694376,0.25,1.0,5.728999972017091,5.693672581999447,education_binary,phi_014
within_state_different_ses,47,0.5962814551590997,0.5882352941176471,0.11729366289188232,0.3157894736842105,0.8571428571428571,5.709294669454483,5.800516429525276,education_binary,phi_014
