graph_id,geography_code,ses_category,rule_id,threshold,edge_count,density,component_count,isolate_count,transitivity
2024_01_education_binary_higher,1,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6
2024_01_education_binary_higher,1,higher,phi_012,0.12,19,0.4222222222222222,1,0,0.5373134328358209
2024_01_education_binary_higher,1,higher,phi_014,0.14,12,0.26666666666666666,2,0,0.5
2024_01_education_binary_lower,1,lower,phi_010,0.1,22,0.4888888888888889,1,0,0.5806451612903226
2024_01_education_binary_lower,1,lower,phi_012,0.12,19,0.4222222222222222,1,0,0.5217391304347826
2024_01_education_binary_lower,1,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.5094339622641509
2024_02_education_binary_higher,2,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.6075949367088608
2024_02_education_binary_higher,2,higher,phi_012,0.12,13,0.28888888888888886,2,1,0.5294117647058824
2024_02_education_binary_higher,2,higher,phi_014,0.14,9,0.2,3,1,0.4
2024_02_education_binary_lower,2,lower,phi_010,0.1,26,0.5777777777777777,1,0,0.6796875
2024_02_education_binary_lower,2,lower,phi_012,0.12,21,0.4666666666666667,1,0,0.5930232558139535
2024_02_education_binary_lower,2,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.5892857142857143
2024_04_education_binary_higher,4,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.5876288659793815
2024_04_education_binary_higher,4,higher,phi_012,0.12,16,0.35555555555555557,2,1,0.6
2024_04_education_binary_higher,4,higher,phi_014,0.14,11,0.24444444444444444,4,2,0.6923076923076923
2024_04_education_binary_lower,4,lower,phi_010,0.1,20,0.4444444444444444,1,0,0.64
2024_04_education_binary_lower,4,lower,phi_012,0.12,15,0.3333333333333333,2,1,0.5510204081632653
2024_04_education_binary_lower,4,lower,phi_014,0.14,14,0.3111111111111111,2,1,0.5714285714285714
2024_05_education_binary_higher,5,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6
2024_05_education_binary_higher,5,higher,phi_012,0.12,20,0.4444444444444444,1,0,0.525
2024_05_education_binary_higher,5,higher,phi_014,0.14,19,0.4222222222222222,1,0,0.5342465753424658
2024_05_education_binary_lower,5,lower,phi_010,0.1,29,0.6444444444444445,1,0,0.7070063694267515
2024_05_education_binary_lower,5,lower,phi_012,0.12,25,0.5555555555555556,1,0,0.675
2024_05_education_binary_lower,5,lower,phi_014,0.14,18,0.4,2,0,0.65625
2024_06_education_binary_higher,6,higher,phi_010,0.1,23,0.5111111111111111,1,0,0.6116504854368932
2024_06_education_binary_higher,6,higher,phi_012,0.12,20,0.4444444444444444,1,0,0.6153846153846154
2024_06_education_binary_higher,6,higher,phi_014,0.14,16,0.35555555555555557,2,1,0.6666666666666666
2024_06_education_binary_lower,6,lower,phi_010,0.1,17,0.37777777777777777,1,0,0.46153846153846156
2024_06_education_binary_lower,6,lower,phi_012,0.12,15,0.3333333333333333,1,0,0.43902439024390244
2024_06_education_binary_lower,6,lower,phi_014,0.14,13,0.28888888888888886,1,0,0.41379310344827586
