graph_id,condition,n_valid,n_cases,unweighted_prevalence,weighted_prevalence,weighted_population_denominator,kish_effective_n
2024_06_lower,ISCHEMIC_HEART_DISEASE,2494,195,0.07818765036086608,0.04774392730754452,11315232.72338689,1446.8288419789205
2024_06_lower,STROKE,2523,126,0.04994054696789536,0.03205112733624061,11423185.09468238,1464.9087342456671
2024_06_lower,CURRENT_ASTHMA,2513,221,0.08794269797055312,0.06906108696612365,11339440.203235596,1454.1334862922997
2024_06_lower,SKIN_CANCER,2519,104,0.04128622469233823,0.023753456453494165,11390548.444005936,1461.726491479731
2024_06_lower,OTHER_CANCER,2521,163,0.0646568821896073,0.046354454785462317,11363088.362423366,1462.1288606509477
2024_06_lower,COPD,2528,155,0.06131329113924051,0.0360540752431489,11423790.912823152,1466.0965029039417
2024_06_lower,DEPRESSIVE_DISORDER,2517,413,0.16408422725466826,0.1513573008663692,11342276.500646021,1457.034081346542
2024_06_lower,KIDNEY_DISEASE,2528,120,0.04746835443037975,0.03743520772592529,11401799.093763849,1465.2742529568695
2024_06_lower,ARTHRITIS,2513,616,0.24512534818941503,0.17214692549694177,11361972.547140915,1457.2034378499668
2024_06_lower,DIABETES,2521,411,0.16303054343514478,0.1461040626563327,11373837.791285165,1462.8381173080293
2024_06_higher,ISCHEMIC_HEART_DISEASE,5723,468,0.08177529267866504,0.05678541848947353,18806944.411762573,2653.026841088083
2024_06_higher,STROKE,5776,245,0.042416897506925205,0.031809675431564086,18991077.86308996,2671.9427915010824
2024_06_higher,CURRENT_ASTHMA,5742,564,0.09822361546499478,0.08920930583618394,18880506.70417244,2650.1232371782053
2024_06_higher,SKIN_CANCER,5746,630,0.10964148973198747,0.06321660233170746,18936135.977320828,2660.281074412618
2024_06_higher,OTHER_CANCER,5768,760,0.1317614424410541,0.08590533173204874,18964870.303756483,2665.970620300489
2024_06_higher,COPD,5762,366,0.0635196112460951,0.042341902149456635,18908018.899602532,2672.4321224934847
2024_06_higher,DEPRESSIVE_DISORDER,5751,1184,0.20587723874108851,0.19551516392256058,18897983.33840733,2655.1984434154797
2024_06_higher,KIDNEY_DISEASE,5768,284,0.049237170596393896,0.039732539633981934,18942097.592808664,2670.199508366873
2024_06_higher,ARTHRITIS,5754,1743,0.3029197080291971,0.2384728078140191,18884835.86855868,2661.191751486034
2024_06_higher,DIABETES,5784,699,0.120850622406639,0.11345949735894326,18994795.037217207,2671.220645704597
2024_12_lower,ISCHEMIC_HEART_DISEASE,4311,528,0.12247738343771747,0.09106462564387936,7225371.419335491,1019.3188541356792
2024_12_lower,STROKE,4357,282,0.06472343355519854,0.04063223607648243,7287249.070112165,1030.685860042944
