graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present
2024_06_lower,ISCHEMIC_HEART_DISEASE,STROKE,0.30257634581674653,,,2488,193,122,49,11308056.959543854,1445.2274520594772,0.04763388441876439,0.031956287750259375,0.012857177630231698,weighted_phi,descriptive,True,,,True
2024_06_lower,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,0.07316034411655019,,,2474,194,214,27,11211458.627652725,1431.999989937597,0.047323265308880744,0.06818645962747878,0.007142416111249965,weighted_phi,descriptive,True,,,False
2024_06_lower,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,0.07288246400721844,,,2480,192,103,21,11267439.045984708,1439.8242518262598,0.04734010267876225,0.023917925309512325,0.00349717010526151,weighted_phi,descriptive,True,,,False
2024_06_lower,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.06403738380152837,,,2482,195,160,27,11234457.191217884,1439.847137665181,0.04808720523103155,0.04639235007288825,0.005112619695941018,weighted_phi,descriptive,True,,,False
2024_06_lower,ISCHEMIC_HEART_DISEASE,COPD,0.12030581071063758,,,2487,195,152,36,11288007.756279355,1442.4567099489416,0.0478590784377171,0.035710352225991226,0.006474693269042951,weighted_phi,descriptive,True,,,True
2024_06_lower,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.08544928396122319,,,2478,195,405,48,11212325.531251257,1434.1468510240563,0.048182123066939225,0.15164519544853844,0.013870025849484054,weighted_phi,descriptive,True,,,True
2024_06_lower,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.0726020333432151,,,2489,194,117,34,11286294.922684804,1443.9412192626442,0.04784271695183203,0.03653889555716802,0.0046555271577382,weighted_phi,descriptive,True,,,False
2024_06_lower,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.15001810029909166,,,2477,192,604,96,11249503.278468462,1437.064009827446,0.047492432778371695,0.17217458798831148,0.02022302143388792,weighted_phi,descriptive,True,,,True
2024_06_lower,ISCHEMIC_HEART_DISEASE,DIABETES,0.163505352710953,,,2480,193,398,76,11242069.14875304,1439.510943588662,0.047784979492469126,0.14384878436326765,0.019113588838797574,weighted_phi,descriptive,True,,,True
2024_06_lower,STROKE,CURRENT_ASTHMA,0.11701470917341676,,,2502,126,219,21,11315527.772616208,1449.3233445806502,0.032356065701251914,0.06867729996188811,0.007458527079710613,weighted_phi,descriptive,True,,,True
2024_06_lower,STROKE,SKIN_CANCER,0.08662459208116433,,,2508,123,104,12,11366636.013386548,1456.9138565519427,0.030628261865849275,0.02380342751606236,0.0030043433399594794,weighted_phi,descriptive,True,,,True
2024_06_lower,STROKE,OTHER_CANCER,0.039138128599283006,,,2510,126,160,15,11339656.412044968,1457.364329767538,0.032287218126486814,0.046066029911725634,0.002937578208519948,weighted_phi,descriptive,True,,,False
2024_06_lower,STROKE,COPD,0.05499130793236738,,,2516,126,153,14,11395960.127574848,1460.5313909324748,0.032127697531092125,0.03554374784975797,0.0029373575346072225,weighted_phi,descriptive,True,,,False
2024_06_lower,STROKE,DEPRESSIVE_DISORDER,0.06345356155891771,,,2505,126,410,26,11312773.860988054,1451.1675591564392,0.032363942261560724,0.15124892742218013,0.008918280395981958,weighted_phi,descriptive,True,,,False
2024_06_lower,STROKE,KIDNEY_DISEASE,0.09228243540216564,,,2515,125,118,17,11370745.416160945,1459.0475753510343,0.032142570446985604,0.03716894985870181,0.004273851242227661,weighted_phi,descriptive,True,,,True
2024_06_lower,STROKE,ARTHRITIS,0.05325969126004802,,,2501,125,612,55,11334141.76189261,1451.6409693046642,0.03216888240119244,0.1719306322781443,0.00907671570278501,weighted_phi,descriptive,True,,,False
2024_06_lower,STROKE,DIABETES,0.15441734038029725,,,2508,125,408,57,11342784.113682263,1456.6079018746466,0.03202768032689594,0.14576613386382217,0.014262711868493583,weighted_phi,descriptive,True,,,True
2024_06_lower,CURRENT_ASTHMA,SKIN_CANCER,0.06209264875324557,,,2498,218,104,11,11282891.121939765,1446.138648179509,0.06768088153372159,0.02398010346124788,0.00400921380070589,weighted_phi,descriptive,True,,,False
2024_06_lower,CURRENT_ASTHMA,OTHER_CANCER,0.08984994223502246,,,2499,219,162,22,11251512.685728278,1445.777955474992,0.06825407690431985,0.046295508826853224,0.00792095604690694,weighted_phi,descriptive,True,,,True
2024_06_lower,CURRENT_ASTHMA,COPD,0.21488733036437474,,,2506,218,152,54,11312215.236128064,1449.7561906825595,0.06871019374799721,0.035637550991725726,0.012525816978006872,weighted_phi,descriptive,True,,,True
2024_06_lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.15327271191518202,,,2494,219,408,65,11227477.931596335,1440.0339775336274,0.06907487346523196,0.1519315886742267,0.024446182455495433,weighted_phi,descriptive,True,,,True
2024_06_lower,CURRENT_ASTHMA,KIDNEY_DISEASE,0.014502642464945514,,,2505,221,120,18,11287000.524714163,1448.2722884525158,0.06938194645318707,0.03781595620463796,0.0033266918968588707,weighted_phi,descriptive,True,,,False
2024_06_lower,CURRENT_ASTHMA,ARTHRITIS,0.14571372891556425,,,2491,220,612,96,11250396.870445829,1440.8658305745953,0.06952847336610152,0.17290214818306354,0.026037232395484392,weighted_phi,descriptive,True,,,True
2024_06_lower,CURRENT_ASTHMA,DIABETES,0.057114953440039105,,,2499,219,411,53,11266253.42647516,1446.82716314196,0.06905017239332886,0.1474992480992684,0.015319815275616462,weighted_phi,descriptive,True,,,False
2024_06_lower,SKIN_CANCER,OTHER_CANCER,0.23443141659238248,,,2506,102,160,36,11308446.516941119,1454.312204345361,0.02275129093698625,0.046012248192722316,0.008370520623425776,weighted_phi,descriptive,True,,,True
2024_06_lower,SKIN_CANCER,COPD,0.05756515783359263,,,2512,104,154,18,11363323.476898404,1457.3479315418797,0.023810366482672804,0.03595410966111343,0.002490008691051598,weighted_phi,descriptive,True,,,False
2024_06_lower,SKIN_CANCER,DEPRESSIVE_DISORDER,-0.003750543645117546,,,2500,104,408,15,11278586.172366675,1447.6273609638,0.02398925648225428,0.15004600676635388,0.0033945459514647383,weighted_phi,descriptive,True,,,False
2024_06_lower,SKIN_CANCER,KIDNEY_DISEASE,0.06505663860565955,,,2512,103,119,16,11346864.169378152,1456.851108747673,0.023788415718691433,0.03750877697730364,0.002775972043120142,weighted_phi,descriptive,True,,,False
