graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity
2024_06_higher,2024,6,California,higher,5797,19041264.215503752,10,29,0.6444444444444445,1,0,5.8,9,0.7692307692307693
2024_06_lower,2024,6,California,lower,2536,11454238.772285284,10,21,0.4666666666666667,1,0,4.2,6,0.52
2024_12_higher,2024,12,Florida,higher,8633,11390032.978743833,10,29,0.6444444444444445,1,0,5.8,9,0.7261146496815286
2024_12_lower,2024,12,Florida,lower,4379,7329115.894313465,10,33,0.7333333333333333,1,0,6.6,9,0.803030303030303
2024_26_higher,2024,26,Michigan,higher,7896,4922420.4617929775,10,27,0.6,1,0,5.4,9,0.6956521739130435
2024_26_lower,2024,26,Michigan,lower,3461,3029650.82284724,10,26,0.5777777777777777,1,0,5.2,9,0.65625
2024_36_higher,2024,36,New York,higher,29310,9621094.602646858,10,26,0.5777777777777777,1,0,5.2,9,0.6976744186046512
2024_36_lower,2024,36,New York,lower,14299,5750332.378887327,10,25,0.5555555555555556,1,0,5.0,9,0.6198347107438017
2024_48_higher,2024,48,Texas,higher,8268,13937209.437036429,10,28,0.6222222222222222,1,0,5.6,9,0.6971830985915493
2024_48_lower,2024,48,Texas,lower,3937,9637321.041648518,10,26,0.5777777777777777,1,0,5.2,9,0.6796875
