graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,n_strata,n_psu,eligibility_status,graphml_path,json_path
2024_06_lower,2024,6,California,lower,2536,11454238.772285284,28,2536,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_06_lower.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_06_lower.json
2024_06_higher,2024,6,California,higher,5797,19041264.215503752,27,5797,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_06_higher.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_06_higher.json
2024_12_lower,2024,12,Florida,lower,4379,7329115.894313465,210,4379,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_12_lower.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_12_lower.json
2024_12_higher,2024,12,Florida,higher,8633,11390032.978743833,240,8633,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_12_higher.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_12_higher.json
2024_26_lower,2024,26,Michigan,lower,3461,3029650.82284724,55,3461,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_26_lower.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_26_lower.json
2024_26_higher,2024,26,Michigan,higher,7896,4922420.4617929775,58,7896,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_26_higher.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_26_higher.json
2024_36_lower,2024,36,New York,lower,14299,5750332.378887327,230,14299,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_36_lower.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_36_lower.json
2024_36_higher,2024,36,New York,higher,29310,9621094.602646858,248,29310,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_36_higher.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_36_higher.json
2024_48_lower,2024,48,Texas,lower,3937,9637321.041648518,86,3937,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_48_lower.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_48_lower.json
2024_48_higher,2024,48,Texas,higher,8268,13937209.437036429,92,8268,eligible,results/prototype/year=2024/run=365b9697fd28/graphs/2024_48_higher.graphml,results/prototype/year=2024/run=365b9697fd28/graphs/2024_48_higher.json
