graph_id_a,graph_id_b,state_a,state_b,ses_a,ses_b,same_state,same_ses,edge_jaccard,edge_agreement,association_correlation,common_association_count
2024_06_lower,2024_06_lower,6,6,lower,lower,True,True,1.0,1.0,1.0,45
2024_06_lower,2024_06_higher,6,6,lower,higher,True,False,0.47058823529411764,0.6,0.7003339656255808,45
2024_06_lower,2024_12_lower,6,12,lower,lower,False,True,0.5428571428571428,0.6444444444444444,0.7226825322984305,45
2024_06_lower,2024_12_higher,6,12,lower,higher,False,False,0.5151515151515151,0.6444444444444444,0.6907509705119728,45
2024_06_lower,2024_26_lower,6,26,lower,lower,False,True,0.5666666666666667,0.7111111111111111,0.7423882009514942,45
2024_06_lower,2024_26_higher,6,26,lower,higher,False,False,0.5483870967741935,0.6888888888888889,0.7310235243582841,45
2024_06_lower,2024_36_lower,6,36,lower,lower,False,True,0.5333333333333333,0.6888888888888889,0.7948812444540049,45
2024_06_lower,2024_36_higher,6,36,lower,higher,False,False,0.5666666666666667,0.7111111111111111,0.7633952217556442,45
2024_06_lower,2024_48_lower,6,48,lower,lower,False,True,0.46875,0.6222222222222222,0.7697738578028682,45
2024_06_lower,2024_48_higher,6,48,lower,higher,False,False,0.5806451612903226,0.7111111111111111,0.7612093958989733,45
2024_06_higher,2024_06_lower,6,6,higher,lower,True,False,0.47058823529411764,0.6,0.7003339656255808,45
2024_06_higher,2024_06_higher,6,6,higher,higher,True,True,1.0,1.0,1.0,45
2024_06_higher,2024_12_lower,6,12,higher,lower,False,False,0.7222222222222222,0.7777777777777778,0.7323037001933309,45
2024_06_higher,2024_12_higher,6,12,higher,higher,False,True,0.8125,0.8666666666666667,0.8499048155720269,45
2024_06_higher,2024_26_lower,6,26,higher,lower,False,False,0.7741935483870968,0.8444444444444444,0.808330687130844,45
2024_06_higher,2024_26_higher,6,26,higher,higher,False,True,0.8666666666666667,0.9111111111111111,0.8916714190476042,45
2024_06_higher,2024_36_lower,6,36,higher,lower,False,False,0.7419354838709677,0.8222222222222222,0.7945144528191693,45
2024_06_higher,2024_36_higher,6,36,higher,higher,False,True,0.8333333333333334,0.8888888888888888,0.9189077488816594,45
2024_06_higher,2024_48_lower,6,48,higher,lower,False,False,0.896551724137931,0.9333333333333333,0.8066834259414707,45
2024_06_higher,2024_48_higher,6,48,higher,higher,False,True,0.78125,0.8444444444444444,0.8449251185250952,45
2024_12_lower,2024_06_lower,12,6,lower,lower,False,True,0.5428571428571428,0.6444444444444444,0.7226825322984305,45
2024_12_lower,2024_06_higher,12,6,lower,higher,False,False,0.7222222222222222,0.7777777777777778,0.7323037001933309,45
2024_12_lower,2024_12_lower,12,12,lower,lower,True,True,1.0,1.0,0.9999999999999998,45
2024_12_lower,2024_12_higher,12,12,lower,higher,True,False,0.7222222222222222,0.7777777777777778,0.7806290076555215,45
2024_12_lower,2024_26_lower,12,26,lower,lower,False,True,0.6857142857142857,0.7555555555555555,0.7792296761060936,45
