bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
1,0.1,1098,1011,1011,0,0.9207650273224044,0.9207650273224044
1,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
1,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
2,0.1,1098,1024,1024,0,0.9326047358834244,0.9326047358834244
2,0.2,542,523,523,0,0.9649446494464945,0.9649446494464945
2,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
3,0.1,1098,984,984,0,0.8961748633879781,0.8961748633879781
3,0.2,542,491,491,0,0.9059040590405905,0.9059040590405905
3,0.3,342,291,291,0,0.8508771929824561,0.8508771929824561
4,0.1,1098,1037,1037,0,0.9444444444444444,0.9444444444444444
4,0.2,542,521,521,0,0.9612546125461254,0.9612546125461254
4,0.3,342,313,313,0,0.9152046783625731,0.9152046783625731
5,0.1,1098,1018,1018,0,0.9271402550091075,0.9271402550091075
5,0.2,542,488,488,0,0.9003690036900369,0.9003690036900369
5,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
6,0.1,1098,1018,1018,0,0.9271402550091075,0.9271402550091075
6,0.2,542,523,523,0,0.9649446494464945,0.9649446494464945
6,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
7,0.1,1098,1076,1076,0,0.9799635701275046,0.9799635701275046
7,0.2,542,537,537,0,0.9907749077490775,0.9907749077490775
7,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
8,0.1,1098,1016,1016,0,0.9253187613843351,0.9253187613843351
8,0.2,542,498,498,0,0.9188191881918819,0.9188191881918819
8,0.3,342,316,316,0,0.9239766081871345,0.9239766081871345
9,0.1,1098,1076,1076,0,0.9799635701275046,0.9799635701275046
9,0.2,542,510,510,0,0.940959409594096,0.940959409594096
9,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
10,0.1,1098,974,974,0,0.8870673952641166,0.8870673952641166
10,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
10,0.3,342,305,305,0,0.8918128654970761,0.8918128654970761
11,0.1,1098,975,975,0,0.8879781420765027,0.8879781420765027
11,0.2,542,470,470,0,0.8671586715867159,0.8671586715867159
11,0.3,342,293,293,0,0.8567251461988304,0.8567251461988304
12,0.1,1098,1030,1030,0,0.9380692167577414,0.9380692167577414
12,0.2,542,512,512,0,0.9446494464944649,0.9446494464944649
12,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
13,0.1,1098,1014,1014,0,0.9234972677595629,0.9234972677595629
13,0.2,542,524,524,0,0.966789667896679,0.966789667896679
13,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
14,0.1,1098,1010,1010,0,0.9198542805100182,0.9198542805100182
14,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
14,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
15,0.1,1098,974,974,0,0.8870673952641166,0.8870673952641166
15,0.2,542,492,492,0,0.9077490774907749,0.9077490774907749
15,0.3,342,313,313,0,0.9152046783625731,0.9152046783625731
16,0.1,1098,990,990,0,0.9016393442622951,0.9016393442622951
16,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
16,0.3,342,308,308,0,0.9005847953216374,0.9005847953216374
17,0.1,1098,1032,1032,0,0.9398907103825137,0.9398907103825137
17,0.2,542,526,526,0,0.9704797047970479,0.9704797047970479
17,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
18,0.1,1098,1025,1025,0,0.9335154826958105,0.9335154826958105
18,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
18,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
19,0.1,1098,1004,1004,0,0.9143897996357013,0.9143897996357013
19,0.2,542,518,518,0,0.955719557195572,0.955719557195572
19,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
20,0.1,1098,1020,1020,0,0.9289617486338798,0.9289617486338798
20,0.2,542,529,529,0,0.9760147601476015,0.9760147601476015
20,0.3,342,317,317,0,0.9269005847953217,0.9269005847953217
21,0.1,1098,1005,1005,0,0.9153005464480874,0.9153005464480874
21,0.2,542,503,503,0,0.9280442804428044,0.9280442804428044
21,0.3,342,303,303,0,0.8859649122807017,0.8859649122807017
22,0.1,1098,945,945,0,0.860655737704918,0.860655737704918
22,0.2,542,515,515,0,0.9501845018450185,0.9501845018450185
22,0.3,342,329,329,0,0.9619883040935673,0.9619883040935673
23,0.1,1098,972,972,0,0.8852459016393442,0.8852459016393442
23,0.2,542,509,509,0,0.9391143911439115,0.9391143911439115
23,0.3,342,304,304,0,0.8888888888888888,0.8888888888888888
24,0.1,1098,1016,1016,0,0.9253187613843351,0.9253187613843351
24,0.2,542,535,535,0,0.9870848708487084,0.9870848708487084
24,0.3,342,337,337,0,0.9853801169590644,0.9853801169590644
25,0.1,1098,1022,1022,0,0.930783242258652,0.930783242258652
25,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
25,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
26,0.1,1098,1046,1046,0,0.9526411657559198,0.9526411657559198
26,0.2,542,504,504,0,0.9298892988929889,0.9298892988929889
26,0.3,342,291,291,0,0.8508771929824561,0.8508771929824561
27,0.1,1098,1042,1042,0,0.9489981785063752,0.9489981785063752
27,0.2,542,518,518,0,0.955719557195572,0.955719557195572
27,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
28,0.1,1098,1022,1022,0,0.930783242258652,0.930783242258652
28,0.2,542,528,528,0,0.974169741697417,0.974169741697417
28,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
29,0.1,1098,1028,1028,0,0.936247723132969,0.936247723132969
29,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
29,0.3,342,329,329,0,0.9619883040935673,0.9619883040935673
30,0.1,1098,1047,1047,0,0.953551912568306,0.953551912568306
30,0.2,542,541,541,0,0.9981549815498155,0.9981549815498155
30,0.3,342,331,331,0,0.9678362573099415,0.9678362573099415
31,0.1,1098,1004,1004,0,0.9143897996357013,0.9143897996357013
31,0.2,542,532,532,0,0.981549815498155,0.981549815498155
31,0.3,342,329,329,0,0.9619883040935673,0.9619883040935673
32,0.1,1098,1016,1016,0,0.9253187613843351,0.9253187613843351
32,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
32,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
33,0.1,1098,1077,1077,0,0.9808743169398907,0.9808743169398907
33,0.2,542,525,525,0,0.9686346863468634,0.9686346863468634
33,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
34,0.1,1098,1050,1050,0,0.9562841530054644,0.9562841530054644
34,0.2,542,533,533,0,0.9833948339483395,0.9833948339483395
34,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
35,0.1,1098,995,995,0,0.9061930783242259,0.9061930783242259
35,0.2,542,529,529,0,0.9760147601476015,0.9760147601476015
35,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
36,0.1,1098,1053,1053,0,0.9590163934426229,0.9590163934426229
36,0.2,542,526,526,0,0.9704797047970479,0.9704797047970479
36,0.3,342,332,332,0,0.9707602339181286,0.9707602339181286
37,0.1,1098,1071,1071,0,0.9754098360655737,0.9754098360655737
37,0.2,542,534,534,0,0.985239852398524,0.985239852398524
37,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
38,0.1,1098,996,996,0,0.907103825136612,0.907103825136612
38,0.2,542,506,506,0,0.933579335793358,0.933579335793358
38,0.3,342,311,311,0,0.9093567251461988,0.9093567251461988
39,0.1,1098,1023,1023,0,0.9316939890710383,0.9316939890710383
39,0.2,542,521,521,0,0.9612546125461254,0.9612546125461254
39,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
40,0.1,1098,1088,1088,0,0.9908925318761385,0.9908925318761385
40,0.2,542,531,531,0,0.9797047970479705,0.9797047970479705
