null_replicate,graph_index,target_swaps,accepted_swaps,attempted_swaps,acceptance_rate,changed,randomized_edge_mask
1,0,110,110,316,0.34810126582278483,True,003c80080c13
1,1,130,130,482,0.2697095435684647,True,044804000e5f
1,2,70,70,196,0.35714285714285715,True,00a000080069
1,3,70,70,465,0.15053763440860216,True,0060000100d8
1,4,90,90,277,0.3249097472924188,True,0408c00800e1
1,5,90,90,226,0.39823008849557523,True,04c00000184b
1,6,170,170,1034,0.1644100580270793,True,0240010cd4ff
1,7,150,150,654,0.22935779816513763,True,002408883c3f
1,8,150,150,928,0.16163793103448276,True,025e400110eb
1,9,70,70,116,0.603448275862069,True,04040000501a
1,10,120,120,586,0.20477815699658702,True,044a40001279
1,11,100,100,222,0.45045045045045046,True,00420028046d
1,12,70,70,156,0.44871794871794873,True,0400400011e0
1,13,80,80,377,0.21220159151193635,True,001040004299
1,14,100,100,213,0.4694835680751174,True,00a84001340a
1,15,100,100,398,0.25125628140703515,True,002a8000106b
1,16,100,100,306,0.32679738562091504,True,0010c00112f0
1,17,120,120,292,0.410958904109589,True,00106041543a
1,18,130,130,643,0.20217729393468117,True,0158c000491b
1,19,170,170,1017,0.1671583087512291,True,0008e2285cbb
1,20,50,50,54,0.9259259259259259,True,040800802008
1,21,70,70,132,0.5303030303030303,True,020800200891
1,22,120,120,411,0.291970802919708,True,102841483051
1,23,80,80,188,0.425531914893617,True,007041004003
1,24,120,120,611,0.19639934533551553,True,00104008a9f8
1,25,100,100,197,0.5076142131979695,True,002080290855
1,26,130,130,981,0.1325178389398573,True,0018c0809879
1,27,140,140,560,0.25,True,00694011106f
1,28,100,100,348,0.28735632183908044,True,01104001185a
1,29,120,120,417,0.28776978417266186,True,10304800123b
1,30,120,120,455,0.26373626373626374,True,00b08004149b
1,31,130,130,401,0.32418952618453867,True,02114220903b
1,32,130,130,850,0.15294117647058825,True,00ac400030db
1,33,210,210,2587,0.08117510630073445,True,00f060054fff
1,34,100,100,335,0.29850746268656714,True,002940000369
1,35,130,130,433,0.3002309468822171,True,0068a0081a69
1,36,120,120,571,0.21015761821366025,True,001c401030d9
1,37,170,170,966,0.17598343685300208,True,011cc0084b77
1,38,80,80,176,0.45454545454545453,True,002940800049
