motif_id,state_pair_count,lower_support_count,higher_support_count,raw_support_fraction_difference,density_residual_mean_lower,density_residual_mean_higher,paired_density_residual_difference,paired_density_residual_t,permutation_p_value,permutation_max_t_p_value,permutation_count,permutation_scheme,density_adjustment,permutation_bh_q_value,permutation_p_value_mcse,permutation_max_t_p_value_mcse,node_count,edge_count,support_count
motif_7343187d61f58156,47,40.0,37.0,0.06382978723404255,0.7767019408433468,0.7324936650023238,0.04420827584102285,0.6395711346975533,0.5531,1.0,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.8799447028423772,0.004971723946479732,0.0,3,2,77
motif_1edae9dffc70a727,47,40.0,34.0,0.1276595744680851,0.7767019408433466,0.6686638777682814,0.10803806307506543,1.5015973315016544,0.1504,0.9991,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.5362947368421053,0.0035746306102868866,0.00029986496961132553,3,2,74
motif_05b3bb80d20cacfe,47,37.0,36.0,0.02127659574468085,0.7128721536093042,0.711217069257643,0.001655084351661164,0.021842797072162714,0.9998,1.0,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.9998999999999999,0.0001414072133945005,0.0,3,2,73
motif_abe15baf9aebb8d4,47,41.0,32.0,0.19148936170212766,0.7979785365880274,0.6261106862789197,0.17186785030910798,2.392524944813004,0.0205,0.7393,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.26730454545454546,0.0014170303454760593,0.004390165258848464,3,2,73
motif_1c7c35aa2acba71b,47,37.0,35.0,0.0425531914893617,0.7128721536093042,0.6899404735129622,0.022931680096342007,0.29017401975822693,0.7935,1.0,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.8995878048780488,0.00404793465856355,0.0,3,2,72
motif_2f435833caec9e2b,47,33.0,36.0,-0.06382978723404255,0.6277657706305809,0.7112170692576428,-0.08345129862706226,-0.912890160175841,0.3591,1.0,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.797672950819672,0.004797365839708287,0.0,3,2,69
motif_06f133d1c67fa8e4,47,36.0,33.0,0.06382978723404255,0.7451980034058521,0.6894595920325757,0.05573841137327609,0.794784553488771,0.5473,1.0,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.8799447028423772,0.004977576820100318,0.0,4,3,69
motif_65eb65a7562a1bcb,47,36.0,33.0,0.06382978723404255,0.745198003405852,0.6894595920325757,0.055738411373276106,0.6769973994969309,0.6097,1.0,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.8799447028423772,0.0048781749661118146,0.0,4,3,69
motif_144e36faf313d657,47,39.0,29.0,0.2127659574468085,0.8090277906398947,0.6043532090538521,0.20467458158604213,2.754925575738973,0.0129,0.4379,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.19976571428571427,0.0011284320980900887,0.0049612860227969124,4,3,68
motif_bfbc51aaa402bef0,47,37.0,31.0,0.1276595744680851,0.766474599150533,0.6469064005432139,0.11956819860731868,1.5322987089455744,0.1784,0.9982,9999,within_state_lower_higher_label_swap,fixed_eligible_dyad_edge_count_expected_occurrence,0.5787672514619883,0.0038284910865770605,0.00042388205906832433,4,3,68
