motif_id,null_model,evaluable_graph_count,observed_support_count,null_support_mean,null_support_standard_deviation,null_support_025,null_support_975,density_null_z,density_null_p_upper
motif_7343187d61f58156,fixed_eligible_dyad_edge_count,94,77,6.019,2.2732810663898952,2.0,11.0,31.224031664822697,0.000999000999000999
motif_1edae9dffc70a727,fixed_eligible_dyad_edge_count,94,74,6.129,2.355399521717472,2.0,11.0,28.815069110021266,0.000999000999000999
motif_05b3bb80d20cacfe,fixed_eligible_dyad_edge_count,94,73,6.014,2.267365198847545,2.0,11.0,29.543542449203866,0.000999000999000999
motif_abe15baf9aebb8d4,fixed_eligible_dyad_edge_count,94,73,6.098,2.348597860833545,2.0,11.0,28.48593244322197,0.000999000999000999
motif_1c7c35aa2acba71b,fixed_eligible_dyad_edge_count,94,72,6.016,2.3620591278211758,2.0,11.0,27.934948462050286,0.000999000999000999
motif_2f435833caec9e2b,fixed_eligible_dyad_edge_count,94,69,6.105,2.3352576792354998,2.0,11.0,26.932787999905056,0.000999000999000999
motif_06f133d1c67fa8e4,fixed_eligible_dyad_edge_count,94,69,1.509,1.210530621002364,0.0,4.0,55.753236497326235,0.000999000999000999
motif_65eb65a7562a1bcb,fixed_eligible_dyad_edge_count,94,69,1.556,1.2117476355794288,0.0,4.0,55.65845397152344,0.000999000999000999
motif_144e36faf313d657,fixed_eligible_dyad_edge_count,94,68,1.587,1.223899068113431,0.0,4.0,54.26346153067325,0.000999000999000999
motif_bfbc51aaa402bef0,fixed_eligible_dyad_edge_count,94,68,1.59,1.2367010266953904,0.0,5.0,53.699316622591695,0.000999000999000999
motif_0627f8d8deb4fba4,fixed_eligible_dyad_edge_count,94,67,5.938,2.340862156479021,2.0,11.0,26.085260864674602,0.000999000999000999
motif_e040651df1ee4832,fixed_eligible_dyad_edge_count,94,66,6.133,2.27826721468345,2.0,11.0,26.277426815501144,0.000999000999000999
motif_5611ddee26c3f8a2,fixed_eligible_dyad_edge_count,94,66,1.551,1.2070028400363646,0.0,4.0,53.39589755899686,0.000999000999000999
motif_e515cabc007964a7,fixed_eligible_dyad_edge_count,94,64,6.033,2.3882241550186647,2.0,11.0,24.272009760133663,0.000999000999000999
motif_a192df3ab4dfeb21,fixed_eligible_dyad_edge_count,94,64,1.547,1.231790691760702,0.0,4.0,50.700983874728486,0.000999000999000999
motif_58b9069656f5bf7c,fixed_eligible_dyad_edge_count,94,64,0.412,0.6408327915038882,0.0,2.0,99.22713201172726,0.000999000999000999
motif_9136b5cad501c9c7,fixed_eligible_dyad_edge_count,94,63,6.001,2.398072090190316,2.0,11.0,23.768676610333447,0.000999000999000999
motif_2c556de84cb4e746,fixed_eligible_dyad_edge_count,94,63,1.543,1.203161917033038,0.0,4.0,51.07957551677762,0.000999000999000999
motif_4b3b17f7e5440be0,fixed_eligible_dyad_edge_count,94,62,6.005,2.4051527518558413,2.0,11.0,23.28126558980242,0.000999000999000999
motif_2f11035ec8a07441,fixed_eligible_dyad_edge_count,94,62,1.565,1.2030054955079041,0.0,4.0,50.23667824101218,0.000999000999000999
motif_5ae0b065c6d1e840,fixed_eligible_dyad_edge_count,94,62,1.554,1.233127975761077,0.0,4.0,49.018432140178476,0.000999000999000999
motif_6315d36b8c285cde,fixed_eligible_dyad_edge_count,94,62,0.383,0.6298473685804408,0.0,2.0,97.82846301140115,0.000999000999000999
