bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
1,0.1,1098,13094,1098,11996,1.0,0.0838552008553536
1,0.2,542,4841,542,4299,1.0,0.11196033877298078
1,0.3,342,1866,342,1524,1.0,0.1832797427652733
2,0.1,1098,11600,1098,10502,1.0,0.0946551724137931
2,0.2,542,4843,542,4301,1.0,0.11191410282882511
2,0.3,342,2167,342,1825,1.0,0.15782187355791416
3,0.1,1098,10455,1098,9357,1.0,0.10502152080344333
3,0.2,542,4297,542,3755,1.0,0.12613451245054688
3,0.3,342,1767,342,1425,1.0,0.1935483870967742
4,0.1,1098,12932,1098,11834,1.0,0.08490566037735849
4,0.2,542,4936,542,4394,1.0,0.10980551053484602
4,0.3,342,2124,342,1782,1.0,0.16101694915254236
5,0.1,1098,12562,1098,11464,1.0,0.08740646393886324
5,0.2,542,5016,542,4474,1.0,0.10805422647527911
5,0.3,342,2174,342,1832,1.0,0.15731370745170192
6,0.1,1098,11720,1098,10622,1.0,0.09368600682593857
6,0.2,542,5095,542,4553,1.0,0.10637880274779195
6,0.3,342,2350,342,2008,1.0,0.14553191489361703
7,0.1,1098,13642,1098,12544,1.0,0.08048673215071105
7,0.2,542,5546,542,5004,1.0,0.09772809231878832
7,0.3,342,2413,342,2071,1.0,0.14173228346456693
8,0.1,1098,11543,1098,10445,1.0,0.09512258511652083
8,0.2,542,5094,542,4552,1.0,0.10639968590498626
8,0.3,342,2066,342,1724,1.0,0.16553727008712488
9,0.1,1098,11519,1098,10421,1.0,0.09532077437277542
9,0.2,542,4853,542,4311,1.0,0.11168349474551824
9,0.3,342,1986,342,1644,1.0,0.17220543806646527
10,0.1,1098,10685,1098,9587,1.0,0.1027608797379504
10,0.2,542,4694,542,4152,1.0,0.11546655304644227
10,0.3,342,1794,342,1452,1.0,0.19063545150501673
11,0.1,1098,9685,1098,8587,1.0,0.11337119256582344
11,0.2,542,4145,542,3603,1.0,0.1307599517490953
11,0.3,342,1754,342,1412,1.0,0.1949828962371722
12,0.1,1098,11190,1098,10092,1.0,0.09812332439678284
12,0.2,542,4904,542,4362,1.0,0.11052202283849918
12,0.3,342,2182,342,1840,1.0,0.15673693858845097
13,0.1,1098,12433,1098,11335,1.0,0.08831335960749619
13,0.2,542,5216,542,4674,1.0,0.10391104294478527
13,0.3,342,2140,342,1798,1.0,0.15981308411214953
14,0.1,1098,14897,1098,13799,1.0,0.07370611532523327
14,0.2,542,6108,542,5566,1.0,0.08873608382449247
14,0.3,342,3000,342,2658,1.0,0.114
15,0.1,1098,14224,1098,13126,1.0,0.07719347581552306
15,0.2,542,5823,542,5281,1.0,0.09307916881332647
15,0.3,342,2606,342,2264,1.0,0.13123561013046814
16,0.1,1098,11279,1098,10181,1.0,0.09734905576735527
16,0.2,542,4657,542,4115,1.0,0.1163839381576122
16,0.3,342,2104,342,1762,1.0,0.16254752851711027
17,0.1,1098,12789,1098,11691,1.0,0.08585503166783955
17,0.2,542,4914,542,4372,1.0,0.1102971102971103
17,0.3,342,2151,342,1809,1.0,0.1589958158995816
18,0.1,1098,14197,1098,13099,1.0,0.07734028315841375
18,0.2,542,6102,542,5560,1.0,0.08882333661094723
18,0.3,342,2359,342,2017,1.0,0.14497668503603223
19,0.1,1098,11805,1098,10707,1.0,0.09301143583227446
19,0.2,542,4750,542,4208,1.0,0.11410526315789474
19,0.3,342,2326,342,1984,1.0,0.1470335339638865
20,0.1,1098,13263,1098,12165,1.0,0.08278669984166478
20,0.2,542,5126,542,4584,1.0,0.10573546625048771
20,0.3,342,2110,342,1768,1.0,0.16208530805687205
21,0.1,1098,10748,1098,9650,1.0,0.10215854112393004
21,0.2,542,4734,542,4192,1.0,0.1144909167722856
21,0.3,342,2016,342,1674,1.0,0.16964285714285715
22,0.1,1098,10431,1098,9333,1.0,0.10526315789473684
22,0.2,542,4201,542,3659,1.0,0.12901690073791955
22,0.3,342,1686,342,1344,1.0,0.20284697508896798
23,0.1,1098,12973,1098,11875,1.0,0.08463732367224235
23,0.2,542,5087,542,4545,1.0,0.10654609789659918
23,0.3,342,2237,342,1895,1.0,0.15288332588287887
24,0.1,1098,11146,1098,10048,1.0,0.09851067647586578
24,0.2,542,4641,542,4099,1.0,0.11678517560870502
24,0.3,342,2257,342,1915,1.0,0.15152857775808595
25,0.1,1098,10916,1098,9818,1.0,0.10058629534628069
25,0.2,542,4923,542,4381,1.0,0.11009547024172253
25,0.3,342,2158,342,1816,1.0,0.15848007414272475
26,0.1,1098,11306,1098,10208,1.0,0.09711657526976826
26,0.2,542,4668,542,4126,1.0,0.11610968294772922
26,0.3,342,1882,342,1540,1.0,0.18172157279489903
27,0.1,1098,13067,1098,11969,1.0,0.08402846866151374
27,0.2,542,5226,542,4684,1.0,0.10371220818982013
27,0.3,342,2289,342,1947,1.0,0.14941022280471822
28,0.1,1098,14835,1098,13737,1.0,0.07401415571284126
28,0.2,542,5738,542,5196,1.0,0.09445799930289299
28,0.3,342,3110,342,2768,1.0,0.10996784565916398
29,0.1,1098,12783,1098,11685,1.0,0.08589532973480404
29,0.2,542,5743,542,5201,1.0,0.09437576179697023
29,0.3,342,2623,342,2281,1.0,0.1303850552802135
30,0.1,1098,13212,1098,12114,1.0,0.08310626702997276
30,0.2,542,5680,542,5138,1.0,0.0954225352112676
30,0.3,342,2123,342,1781,1.0,0.16109279321714554
31,0.1,1098,10985,1098,9887,1.0,0.09995448338643605
31,0.2,542,4643,542,4101,1.0,0.11673486969631704
31,0.3,342,2038,342,1696,1.0,0.1678115799803729
32,0.1,1098,12239,1098,11141,1.0,0.08971321186371435
32,0.2,542,5070,542,4528,1.0,0.10690335305719921
32,0.3,342,2462,342,2120,1.0,0.1389114541023558
33,0.1,1098,13497,1098,12399,1.0,0.08135141142476106
33,0.2,542,5534,542,4992,1.0,0.09794000722804481
33,0.3,342,2463,342,2121,1.0,0.13885505481120586
34,0.1,1098,11587,1098,10489,1.0,0.09476137050142401
34,0.2,542,5478,542,4936,1.0,0.09894121942314714
34,0.3,342,2688,342,2346,1.0,0.12723214285714285
35,0.1,1098,14991,1098,13893,1.0,0.0732439463678207
35,0.2,542,5782,542,5240,1.0,0.09373919059149083
35,0.3,342,2456,342,2114,1.0,0.13925081433224756
36,0.1,1098,10177,1098,9079,1.0,0.1078903409649209
36,0.2,542,4837,542,4295,1.0,0.112052925366963
36,0.3,342,2157,342,1815,1.0,0.15855354659248957
37,0.1,1098,12232,1098,11134,1.0,0.08976455199476782
37,0.2,542,5247,542,4705,1.0,0.10329712216504669
37,0.3,342,2457,342,2115,1.0,0.1391941391941392
38,0.1,1098,10442,1098,9344,1.0,0.10515226968013791
38,0.2,542,4426,542,3884,1.0,0.12245820153637596
38,0.3,342,2127,342,1785,1.0,0.1607898448519041
39,0.1,1098,12022,1098,10924,1.0,0.09133255697887206
39,0.2,542,4838,542,4296,1.0,0.11202976436544027
39,0.3,342,1909,342,1567,1.0,0.17915138816134102
40,0.1,1098,11747,1098,10649,1.0,0.09347067336341193
40,0.2,542,5315,542,4773,1.0,0.1019755409219191
40,0.3,342,2218,342,1876,1.0,0.15419296663660956
41,0.1,1098,12749,1098,11651,1.0,0.0861244019138756
41,0.2,542,5135,542,4593,1.0,0.10555014605647517
41,0.3,342,2487,342,2145,1.0,0.13751507840772015
42,0.1,1098,12094,1098,10996,1.0,0.09078882090292707
42,0.2,542,4588,542,4046,1.0,0.11813426329555361
42,0.3,342,2031,342,1689,1.0,0.16838995568685378
