bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
1,0.1,1098,1055,1055,0,0.9608378870673953,0.9608378870673953
1,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
1,0.3,342,304,304,0,0.8888888888888888,0.8888888888888888
2,0.1,1098,1067,1067,0,0.9717668488160291,0.9717668488160291
2,0.2,542,529,529,0,0.9760147601476015,0.9760147601476015
2,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
3,0.1,1098,1027,1027,0,0.9353369763205829,0.9353369763205829
3,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
3,0.3,342,327,327,0,0.956140350877193,0.956140350877193
4,0.1,1098,993,993,0,0.9043715846994536,0.9043715846994536
4,0.2,542,489,489,0,0.9022140221402214,0.9022140221402214
4,0.3,342,282,282,0,0.8245614035087719,0.8245614035087719
5,0.1,1098,1063,1063,0,0.9681238615664846,0.9681238615664846
5,0.2,542,521,521,0,0.9612546125461254,0.9612546125461254
5,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
6,0.1,1098,1004,1004,0,0.9143897996357013,0.9143897996357013
6,0.2,542,504,504,0,0.9298892988929889,0.9298892988929889
6,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
7,0.1,1098,1072,1072,0,0.97632058287796,0.97632058287796
7,0.2,542,512,512,0,0.9446494464944649,0.9446494464944649
7,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
8,0.1,1098,1027,1027,0,0.9353369763205829,0.9353369763205829
8,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
8,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
9,0.1,1098,1068,1068,0,0.9726775956284153,0.9726775956284153
9,0.2,542,518,518,0,0.955719557195572,0.955719557195572
9,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
10,0.1,1098,999,999,0,0.9098360655737705,0.9098360655737705
10,0.2,542,494,494,0,0.9114391143911439,0.9114391143911439
10,0.3,342,302,302,0,0.8830409356725146,0.8830409356725146
11,0.1,1098,999,999,0,0.9098360655737705,0.9098360655737705
11,0.2,542,498,498,0,0.9188191881918819,0.9188191881918819
11,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
12,0.1,1098,1023,1023,0,0.9316939890710383,0.9316939890710383
12,0.2,542,512,512,0,0.9446494464944649,0.9446494464944649
12,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
13,0.1,1098,1035,1035,0,0.9426229508196722,0.9426229508196722
13,0.2,542,496,496,0,0.915129151291513,0.915129151291513
13,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
14,0.1,1098,1000,1000,0,0.9107468123861566,0.9107468123861566
14,0.2,542,524,524,0,0.966789667896679,0.966789667896679
14,0.3,342,314,314,0,0.9181286549707602,0.9181286549707602
15,0.1,1098,1018,1018,0,0.9271402550091075,0.9271402550091075
15,0.2,542,498,498,0,0.9188191881918819,0.9188191881918819
15,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
16,0.1,1098,1019,1019,0,0.9280510018214936,0.9280510018214936
16,0.2,542,512,512,0,0.9446494464944649,0.9446494464944649
16,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
17,0.1,1098,965,965,0,0.8788706739526412,0.8788706739526412
17,0.2,542,485,485,0,0.8948339483394834,0.8948339483394834
17,0.3,342,313,313,0,0.9152046783625731,0.9152046783625731
18,0.1,1098,1049,1049,0,0.9553734061930783,0.9553734061930783
18,0.2,542,520,520,0,0.959409594095941,0.959409594095941
18,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
19,0.1,1098,1043,1043,0,0.9499089253187614,0.9499089253187614
19,0.2,542,502,502,0,0.9261992619926199,0.9261992619926199
19,0.3,342,310,310,0,0.9064327485380117,0.9064327485380117
20,0.1,1098,972,972,0,0.8852459016393442,0.8852459016393442
20,0.2,542,482,482,0,0.8892988929889298,0.8892988929889298
20,0.3,342,298,298,0,0.8713450292397661,0.8713450292397661
21,0.1,1098,1079,1079,0,0.982695810564663,0.982695810564663
21,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
21,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
22,0.1,1098,1023,1023,0,0.9316939890710383,0.9316939890710383
22,0.2,542,503,503,0,0.9280442804428044,0.9280442804428044
22,0.3,342,310,310,0,0.9064327485380117,0.9064327485380117
23,0.1,1098,976,976,0,0.8888888888888888,0.8888888888888888
23,0.2,542,516,516,0,0.9520295202952029,0.9520295202952029
23,0.3,342,307,307,0,0.8976608187134503,0.8976608187134503
24,0.1,1098,989,989,0,0.900728597449909,0.900728597449909
24,0.2,542,514,514,0,0.948339483394834,0.948339483394834
24,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
25,0.1,1098,1002,1002,0,0.912568306010929,0.912568306010929
25,0.2,542,518,518,0,0.955719557195572,0.955719557195572
25,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
26,0.1,1098,967,967,0,0.8806921675774135,0.8806921675774135
26,0.2,542,523,523,0,0.9649446494464945,0.9649446494464945
26,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
27,0.1,1098,995,995,0,0.9061930783242259,0.9061930783242259
27,0.2,542,489,489,0,0.9022140221402214,0.9022140221402214
27,0.3,342,293,293,0,0.8567251461988304,0.8567251461988304
28,0.1,1098,970,970,0,0.8834244080145719,0.8834244080145719
28,0.2,542,489,489,0,0.9022140221402214,0.9022140221402214
28,0.3,342,272,272,0,0.7953216374269005,0.7953216374269005
29,0.1,1098,944,944,0,0.8597449908925319,0.8597449908925319
29,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
29,0.3,342,309,309,0,0.9035087719298246,0.9035087719298246
30,0.1,1098,1028,1028,0,0.936247723132969,0.936247723132969
30,0.2,542,529,529,0,0.9760147601476015,0.9760147601476015
30,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
31,0.1,1098,993,993,0,0.9043715846994536,0.9043715846994536
31,0.2,542,511,511,0,0.9428044280442804,0.9428044280442804
31,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
32,0.1,1098,954,954,0,0.8688524590163934,0.8688524590163934
32,0.2,542,490,490,0,0.9040590405904059,0.9040590405904059
32,0.3,342,301,301,0,0.8801169590643275,0.8801169590643275
33,0.1,1098,1025,1025,0,0.9335154826958105,0.9335154826958105
33,0.2,542,531,531,0,0.9797047970479705,0.9797047970479705
33,0.3,342,335,335,0,0.97953216374269,0.97953216374269
34,0.1,1098,1077,1077,0,0.9808743169398907,0.9808743169398907
34,0.2,542,532,532,0,0.981549815498155,0.981549815498155
34,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
35,0.1,1098,990,990,0,0.9016393442622951,0.9016393442622951
35,0.2,542,519,519,0,0.9575645756457565,0.9575645756457565
35,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
36,0.1,1098,976,976,0,0.8888888888888888,0.8888888888888888
36,0.2,542,494,494,0,0.9114391143911439,0.9114391143911439
36,0.3,342,292,292,0,0.8538011695906432,0.8538011695906432
37,0.1,1098,978,978,0,0.8907103825136612,0.8907103825136612
37,0.2,542,537,537,0,0.9907749077490775,0.9907749077490775
37,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
38,0.1,1098,1011,1011,0,0.9207650273224044,0.9207650273224044
38,0.2,542,501,501,0,0.9243542435424354,0.9243542435424354
38,0.3,342,298,298,0,0.8713450292397661,0.8713450292397661
39,0.1,1098,1039,1039,0,0.9462659380692168,0.9462659380692168
