null_replicate,graph_index,target_swaps,accepted_swaps,changed
1,0,110,110,True
1,1,130,130,True
1,2,70,70,True
1,3,70,70,True
1,4,90,90,True
1,5,90,90,True
1,6,170,170,True
1,7,150,150,True
1,8,150,150,True
1,9,70,70,True
1,10,120,120,True
1,11,100,100,True
1,12,70,70,True
1,13,80,80,True
1,14,100,100,True
1,15,100,100,True
1,16,100,100,True
1,17,120,120,True
1,18,130,130,True
1,19,170,170,True
1,20,50,50,True
1,21,70,70,True
1,22,120,120,True
1,23,80,80,True
1,24,120,120,True
1,25,100,100,True
1,26,130,130,True
1,27,140,140,True
1,28,100,100,True
1,29,120,120,True
1,30,120,120,True
1,31,130,130,True
1,32,130,130,True
1,33,210,210,True
1,34,100,100,True
1,35,130,130,True
1,36,120,120,True
1,37,170,170,True
1,38,80,80,True
1,39,120,120,True
1,40,80,80,True
1,41,100,100,True
1,42,130,130,True
1,43,170,170,True
1,44,90,90,True
1,45,110,110,True
1,46,130,130,True
1,47,110,110,True
1,48,40,40,True
1,49,130,130,True
1,50,110,110,True
1,51,150,150,True
1,52,80,80,True
1,53,70,70,True
1,54,70,70,True
1,55,90,90,True
1,56,20,20,False
1,57,90,90,True
1,58,130,130,True
1,59,150,150,True
1,60,90,90,True
1,61,110,110,True
1,62,100,100,True
1,63,150,150,True
1,64,100,100,True
1,65,160,160,True
1,66,130,130,True
1,67,140,140,True
1,68,110,110,True
1,69,130,130,True
1,70,130,130,True
1,71,80,80,True
1,72,100,100,True
1,73,90,90,True
1,74,140,140,True
1,75,190,190,True
1,76,50,50,True
1,77,60,60,True
1,78,130,130,True
1,79,130,130,True
1,80,110,110,True
1,81,110,110,True
1,82,100,100,True
1,83,120,120,True
1,84,140,140,True
1,85,120,120,True
1,86,110,110,True
1,87,120,120,True
1,88,130,130,True
1,89,140,140,True
1,90,120,120,True
1,91,110,110,True
1,92,80,80,True
1,93,160,160,True
2,0,110,110,True
2,1,130,130,True
2,2,70,70,True
2,3,70,70,True
2,4,90,90,True
2,5,90,90,True
2,6,170,170,True
2,7,150,150,True
2,8,150,150,True
2,9,70,70,True
2,10,120,120,True
2,11,100,100,True
2,12,70,70,True
2,13,80,80,False
2,14,100,100,True
2,15,100,100,True
2,16,100,100,True
2,17,120,120,True
2,18,130,130,True
2,19,170,170,True
2,20,50,50,True
2,21,70,70,True
2,22,120,120,True
2,23,80,80,True
2,24,120,120,True
2,25,100,100,True
2,26,130,130,True
2,27,140,140,True
2,28,100,100,True
2,29,120,120,True
2,30,120,120,True
2,31,130,130,True
2,32,130,130,True
2,33,210,210,True
2,34,100,100,True
2,35,130,130,True
2,36,120,120,True
2,37,170,170,True
2,38,80,80,True
2,39,120,120,True
2,40,80,80,True
2,41,100,100,True
2,42,130,130,True
2,43,170,170,True
2,44,90,90,True
2,45,110,110,True
2,46,130,130,True
