motif_id,state_pair_count,lower_support_count,higher_support_count,raw_support_fraction_difference,density_residual_mean_lower,density_residual_mean_higher,paired_density_residual_difference,paired_density_residual_t,permutation_p_value,permutation_max_t_p_value,permutation_count,permutation_scheme,density_adjustment,permutation_bh_q_value,node_count,edge_count,support_count
motif_7343187d61f58156,47,40.0,37.0,0.06382978723404255,0.7786804212336126,0.7325596389426176,0.04612078229099502,0.6647845833561863,0.5525,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8800847545219637,3,2,77
motif_1edae9dffc70a727,47,40.0,34.0,0.1276595744680851,0.7786804212336126,0.6687298517085749,0.10995056952503757,1.526764005167525,0.1503,0.9987,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.5359381578947368,3,2,74
motif_05b3bb80d20cacfe,47,37.0,36.0,0.02127659574468085,0.7148506339995702,0.7112830431979364,0.00356759080163334,0.046992248525991605,0.9992,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.9998999999999999,3,2,73
motif_abe15baf9aebb8d4,47,41.0,32.0,0.19148936170212766,0.7999570169782934,0.6261766602192133,0.17378035675908016,2.4164405899052563,0.0204,0.7288,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.26730454545454546,3,2,73
motif_1c7c35aa2acba71b,47,37.0,35.0,0.0425531914893617,0.7148506339995702,0.6900064474532558,0.0248441865463142,0.3136607131385157,0.793,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8996979674796747,3,2,72
motif_2f435833caec9e2b,47,33.0,36.0,-0.06382978723404255,0.6297442510208469,0.7112830431979364,-0.08153879217709006,-0.8895512355009553,0.3591,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.797672950819672,3,2,69
motif_06f133d1c67fa8e4,47,36.0,33.0,0.06382978723404255,0.7459013689592613,0.6894831541541091,0.056418214805151946,0.8035216782711014,0.5469,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8800847545219637,4,3,69
motif_65eb65a7562a1bcb,47,36.0,33.0,0.06382978723404255,0.7459013689592613,0.6894831541541091,0.056418214805151946,0.684546374050244,0.6093,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8800847545219637,4,3,69
motif_144e36faf313d657,47,39.0,29.0,0.2127659574468085,0.8097311561933042,0.6043767711753856,0.20535438501791792,2.7641693061161408,0.0129,0.4365,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.19976571428571427,4,3,68
motif_bfbc51aaa402bef0,47,37.0,31.0,0.1276595744680851,0.7671779647039425,0.6469299626647473,0.12024800203919456,1.5406145471243438,0.1783,0.9981,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.5794011695906433,4,3,68
motif_0627f8d8deb4fba4,47,31.0,36.0,-0.10638297872340426,0.5871910595314851,0.7112830431979367,-0.12409198366645177,-1.5370729772956788,0.1202,0.9981,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.49758045112781957,3,2,67
motif_e040651df1ee4832,47,33.0,33.0,0.0,0.6297442510208469,0.6474532559638941,-0.017709004943047505,-0.24063172809822989,0.7757,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8996979674796747,3,2,66
motif_5611ddee26c3f8a2,47,33.0,33.0,0.0,0.6820715817252186,0.6894831541541091,-0.00741157242889057,-0.08160977658061919,0.8128,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8996979674796747,4,3,66
motif_e515cabc007964a7,47,32.0,32.0,0.0,0.608467655276166,0.6261766602192134,-0.017709004943047505,-0.23894744575776722,0.7761,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8996979674796747,3,2,64
motif_a192df3ab4dfeb21,47,34.0,30.0,0.0851063829787234,0.7033481774698996,0.6256533669200665,0.07769481054983282,1.062711665325217,0.3779,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8210761589403973,4,3,64
motif_58b9069656f5bf7c,47,35.0,29.0,0.1276595744680851,0.739008377405211,0.6141694030857815,0.12483897431942952,1.5956167059729043,0.1851,0.9971,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.5832802325581394,5,4,64
motif_9136b5cad501c9c7,47,31.0,32.0,-0.02127659574468085,0.5871910595314851,0.6261766602192131,-0.038985600687728356,-0.441354819347396,0.6248,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8800847545219637,3,2,63
motif_2c556de84cb4e746,47,32.0,31.0,0.02127659574468085,0.6607949859805378,0.6469299626647473,0.013865023315790242,0.17917921804955628,0.9995,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.9998999999999999,4,3,63
motif_4b3b17f7e5440be0,47,28.0,34.0,-0.1276595744680851,0.5233612722974424,0.6687298517085749,-0.14536857941113265,-1.7818607982133805,0.0817,0.9802,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.438429702970297,3,2,62
motif_2f11035ec8a07441,47,28.0,34.0,-0.1276595744680851,0.5756886030018143,0.7107597498987899,-0.1350711468969757,-1.626877149809419,0.0817,0.9957,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.438429702970297,4,3,62
motif_5ae0b065c6d1e840,47,30.0,32.0,-0.0425531914893617,0.6182417944911761,0.6682065584094281,-0.0499647639182523,-0.5843968714325692,0.4484,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8210761589403973,4,3,62
motif_6315d36b8c285cde,47,33.0,29.0,0.0851063829787234,0.6964551859158491,0.6141694030857814,0.08228578283006785,1.1221780120873324,0.3802,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8210761589403973,5,4,62
motif_212edb45a5b61006,47,31.0,30.0,0.02127659574468085,0.5871910595314851,0.5836234687298515,0.003567590801633347,0.043189541378615026,0.9992,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.9998999999999999,3,2,61
motif_726f3861dd21cc38,47,32.0,29.0,0.06382978723404255,0.608467655276166,0.5623468729851707,0.046120782290995053,0.5639375043803457,0.6052,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8800847545219637,3,2,61
motif_4074b843a40a8667,47,31.0,30.0,0.02127659574468085,0.6395183902358569,0.6256533669200665,0.01386502331579027,0.16707072327334843,0.9993,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.9998999999999999,4,3,61
motif_52dd6e9ed5d3313a,47,29.0,31.0,-0.0425531914893617,0.5969651987464951,0.6469299626647473,-0.0499647639182523,-0.58542631007686,0.4564,1.0,9999,within_state_lower_higher_label_swap,fixed_node_edge_count_expected_occurrence,0.8210761589403973,3,3,60
