motif_id,node_count,edge_count,baseline_support_count,bootstrap_support_mean,bootstrap_support_median,bootstrap_support_025,bootstrap_support_975,p_boot_support_10pct,p_boot_support_20pct,p_boot_support_30pct
motif_7343187d61f58156,3,2,77,75.826,76.0,74.0,77.0,1.0,1.0,1.0
motif_1edae9dffc70a727,3,2,74,72.836,73.0,71.0,74.0,1.0,1.0,1.0
motif_05b3bb80d20cacfe,3,2,73,71.442,72.0,69.0,73.0,1.0,1.0,1.0
motif_abe15baf9aebb8d4,3,2,73,71.998,72.0,70.0,73.0,1.0,1.0,1.0
motif_1c7c35aa2acba71b,3,2,72,70.732,71.0,68.0,72.0,1.0,1.0,1.0
motif_2f435833caec9e2b,3,2,69,67.494,68.0,65.0,69.0,1.0,1.0,1.0
motif_06f133d1c67fa8e4,4,3,69,67.258,67.0,65.0,69.0,1.0,1.0,1.0
motif_65eb65a7562a1bcb,4,3,69,67.49,68.0,65.0,69.0,1.0,1.0,1.0
motif_144e36faf313d657,4,3,68,66.606,67.0,64.0,68.0,1.0,1.0,1.0
motif_bfbc51aaa402bef0,4,3,68,66.714,67.0,64.0,68.0,1.0,1.0,1.0
motif_0627f8d8deb4fba4,3,2,67,65.84,66.0,64.0,67.0,1.0,1.0,1.0
motif_e040651df1ee4832,3,2,66,63.956,64.0,61.0,66.0,1.0,1.0,1.0
motif_5611ddee26c3f8a2,4,3,66,64.22,64.0,61.0,66.0,1.0,1.0,1.0
motif_e515cabc007964a7,3,2,64,62.438,63.0,60.0,64.0,1.0,1.0,1.0
motif_a192df3ab4dfeb21,4,3,64,62.404,63.0,60.0,64.0,1.0,1.0,1.0
motif_58b9069656f5bf7c,5,4,64,62.406,62.0,60.0,64.0,1.0,1.0,1.0
motif_9136b5cad501c9c7,3,2,63,61.6,62.0,59.0,63.0,1.0,1.0,1.0
motif_2c556de84cb4e746,4,3,63,61.198,61.0,59.0,63.0,1.0,1.0,1.0
motif_4b3b17f7e5440be0,3,2,62,60.77,61.0,58.0,62.0,1.0,1.0,1.0
motif_2f11035ec8a07441,4,3,62,60.69,61.0,58.0,62.0,1.0,1.0,1.0
motif_5ae0b065c6d1e840,4,3,62,60.52,61.0,58.0,62.0,1.0,1.0,1.0
motif_6315d36b8c285cde,5,4,62,60.26,60.0,57.0,62.0,1.0,1.0,1.0
motif_212edb45a5b61006,3,2,61,59.358,59.0,57.0,61.0,1.0,1.0,1.0
motif_726f3861dd21cc38,3,2,61,59.646,60.0,57.0,61.0,1.0,1.0,1.0
motif_4074b843a40a8667,4,3,61,59.262,59.0,57.0,61.0,1.0,1.0,1.0
motif_52dd6e9ed5d3313a,3,3,60,58.388,59.0,55.0,60.0,1.0,1.0,1.0
motif_e5793275baa46474,4,3,60,58.184,58.0,55.0,60.0,1.0,1.0,1.0
motif_99e10474d9641594,5,4,60,58.248,58.0,55.0,60.0,1.0,1.0,1.0
motif_fad3706020dd7d19,5,4,60,58.476,59.0,56.0,60.0,1.0,1.0,1.0
motif_2411af643dc47294,4,4,59,57.192,57.0,54.0,59.0,1.0,1.0,1.0
motif_c03e15a1bea6ea46,5,4,59,57.086,57.0,54.0,59.0,1.0,1.0,1.0
motif_329c5520ea9f137f,3,2,58,56.788,57.0,54.0,58.0,1.0,1.0,1.0
motif_857e39d6361c69c4,3,2,58,56.084,56.0,53.0,58.0,1.0,1.0,1.0
motif_795694a86aef5c38,3,3,58,56.492,57.0,54.0,58.0,1.0,1.0,1.0
motif_48c393c748427b13,4,3,58,56.15,56.0,53.0,58.0,1.0,1.0,1.0
motif_7a01626f3ff4e596,4,3,58,55.7,56.0,53.0,58.0,1.0,1.0,1.0
motif_292d9b9a4fb005aa,5,4,58,56.082,56.0,53.0,58.0,1.0,1.0,1.0
