motif_id,null_model,observed_support_count,null_support_mean,null_support_standard_deviation,null_support_025,null_support_975,density_null_z,density_null_p_upper
motif_7343187d61f58156,fixed_node_edge_count,77,5.93,2.261462848294042,2.0,11.0,31.426560933164296,0.000999000999000999
motif_1edae9dffc70a727,fixed_node_edge_count,74,6.022,2.3282905611063547,2.0,11.0,29.196527759704647,0.000999000999000999
motif_05b3bb80d20cacfe,fixed_node_edge_count,73,5.906,2.2284815750035127,2.0,10.0,30.107495952661953,0.000999000999000999
motif_abe15baf9aebb8d4,fixed_node_edge_count,73,5.99,2.3124115652814208,2.0,11.0,28.978405490652733,0.000999000999000999
motif_1c7c35aa2acba71b,fixed_node_edge_count,72,5.911,2.3393485314402223,2.0,11.0,28.251027630890142,0.000999000999000999
motif_2f435833caec9e2b,fixed_node_edge_count,69,6.006,2.3258059621071956,2.0,11.0,27.08480459088987,0.000999000999000999
motif_06f133d1c67fa8e4,fixed_node_edge_count,69,1.472,1.185166916776127,0.0,4.0,56.977628251460686,0.000999000999000999
motif_65eb65a7562a1bcb,fixed_node_edge_count,69,1.512,1.199706337107251,0.0,4.0,56.253766369800154,0.000999000999000999
motif_144e36faf313d657,fixed_node_edge_count,68,1.551,1.2127942405329373,0.0,4.0,54.79000293635989,0.000999000999000999
motif_bfbc51aaa402bef0,fixed_node_edge_count,68,1.554,1.2249835038010068,0.0,4.024999999999977,54.242363096175914,0.000999000999000999
motif_0627f8d8deb4fba4,fixed_node_edge_count,67,5.831,2.309496216228286,2.0,11.0,26.48586283457831,0.000999000999000999
motif_e040651df1ee4832,fixed_node_edge_count,66,6.034,2.2578622504355557,2.0,11.0,26.558750423517726,0.000999000999000999
motif_5611ddee26c3f8a2,fixed_node_edge_count,66,1.487,1.1887994970743536,0.0,4.0,54.26735135636168,0.000999000999000999
motif_e515cabc007964a7,fixed_node_edge_count,64,5.955,2.327314201261055,2.0,11.0,24.940766471733095,0.000999000999000999
motif_a192df3ab4dfeb21,fixed_node_edge_count,64,1.485,1.2104710819512543,0.0,4.0,51.64518255093473,0.000999000999000999
motif_58b9069656f5bf7c,fixed_node_edge_count,64,0.401,0.62975836286277,0.0,2.0,100.98952828651645,0.000999000999000999
motif_9136b5cad501c9c7,fixed_node_edge_count,63,5.958,2.3870345481232422,2.0,11.0,23.896595901742657,0.000999000999000999
motif_2c556de84cb4e746,fixed_node_edge_count,63,1.519,1.1904016364471495,0.0,4.0,51.64727443041413,0.000999000999000999
motif_4b3b17f7e5440be0,fixed_node_edge_count,62,5.903,2.4090235354587954,2.0,11.0,23.286198401260698,0.000999000999000999
motif_2f11035ec8a07441,fixed_node_edge_count,62,1.498,1.186340340460278,0.0,4.0,50.998855839738496,0.000999000999000999
motif_5ae0b065c6d1e840,fixed_node_edge_count,62,1.539,1.2190016263176002,0.0,4.0,49.59878534587567,0.000999000999000999
motif_6315d36b8c285cde,fixed_node_edge_count,62,0.36,0.5989647391614632,0.0,2.0,102.91089937329963,0.000999000999000999
motif_212edb45a5b61006,fixed_node_edge_count,61,6.036,2.3341277069072595,2.0,11.0,23.547983187615642,0.000999000999000999
motif_726f3861dd21cc38,fixed_node_edge_count,61,5.947,2.3553638230088207,2.0,11.0,23.37345910733801,0.000999000999000999
motif_4074b843a40a8667,fixed_node_edge_count,61,1.507,1.2326680293049195,0.0,4.0,48.26360267780052,0.000999000999000999
motif_52dd6e9ed5d3313a,fixed_node_edge_count,60,1.496,1.1659088057577043,0.0,4.0,50.17888166817579,0.000999000999000999
motif_e5793275baa46474,fixed_node_edge_count,60,1.52,1.1970935773919404,0.0,4.0,48.85165295716315,0.000999000999000999
motif_99e10474d9641594,fixed_node_edge_count,60,0.373,0.5815575717065425,0.0,2.0,102.52983178437258,0.000999000999000999
motif_fad3706020dd7d19,fixed_node_edge_count,60,0.391,0.648490200033536,0.0,2.0,91.919662004017,0.000999000999000999
motif_2411af643dc47294,fixed_node_edge_count,59,0.354,0.5890933975449323,0.0,2.0,99.55297452731484,0.000999000999000999
motif_c03e15a1bea6ea46,fixed_node_edge_count,59,0.364,0.6015528786946883,0.0,2.0,97.47439016040363,0.000999000999000999
motif_329c5520ea9f137f,fixed_node_edge_count,58,5.896,2.2667867836041182,2.0,11.0,22.985840740237734,0.000999000999000999
motif_857e39d6361c69c4,fixed_node_edge_count,58,5.845,2.3593519325318035,2.0,11.0,22.10564658916012,0.000999000999000999
