bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
1,0.1,1098,12121,1098,11023,1.0,0.09058658526524214
1,0.2,542,5191,542,4649,1.0,0.10441148141013293
1,0.3,342,2117,342,1775,1.0,0.1615493623051488
2,0.1,1098,10105,1098,9007,1.0,0.1086590796635329
2,0.2,542,4412,542,3870,1.0,0.1228467815049864
2,0.3,342,2054,342,1712,1.0,0.1665043816942551
3,0.1,1098,10438,1098,9340,1.0,0.10519256562559877
3,0.2,542,4593,542,4051,1.0,0.11800566078815589
3,0.3,342,2226,342,1884,1.0,0.15363881401617252
4,0.1,1098,11239,1098,10141,1.0,0.09769552451285701
4,0.2,542,4742,542,4200,1.0,0.11429776465626318
4,0.3,342,2279,342,1937,1.0,0.1500658183413778
5,0.1,1098,12629,1098,11531,1.0,0.08694275081162404
5,0.2,542,5867,542,5325,1.0,0.09238111470939152
5,0.3,342,2601,342,2259,1.0,0.1314878892733564
6,0.1,1098,11877,1098,10779,1.0,0.09244758777469057
6,0.2,542,4739,542,4197,1.0,0.11437012027853978
6,0.3,342,2026,342,1684,1.0,0.1688055281342547
7,0.1,1098,12610,1098,11512,1.0,0.08707375099127676
7,0.2,542,5520,542,4978,1.0,0.09818840579710145
7,0.3,342,2144,342,1802,1.0,0.15951492537313433
8,0.1,1098,12893,1098,11795,1.0,0.08516249127433491
8,0.2,542,5253,542,4711,1.0,0.10317913573196269
8,0.3,342,2365,342,2023,1.0,0.14460887949260043
9,0.1,1098,9696,1098,8598,1.0,0.11324257425742575
9,0.2,542,4706,542,4164,1.0,0.11517212069698257
9,0.3,342,2073,342,1731,1.0,0.1649782923299566
10,0.1,1098,11682,1098,10584,1.0,0.09399075500770417
10,0.2,542,4604,542,4062,1.0,0.11772371850564727
10,0.3,342,1945,342,1603,1.0,0.17583547557840618
11,0.1,1098,10878,1098,9780,1.0,0.10093767236624379
11,0.2,542,4408,542,3866,1.0,0.12295825771324864
11,0.3,342,2076,342,1734,1.0,0.16473988439306358
12,0.1,1098,10530,1098,9432,1.0,0.10427350427350428
12,0.2,542,4279,542,3737,1.0,0.12666510867025005
12,0.3,342,2058,342,1716,1.0,0.1661807580174927
13,0.1,1098,10539,1098,9441,1.0,0.10418445772843724
13,0.2,542,4309,542,3767,1.0,0.12578324437224414
13,0.3,342,1748,342,1406,1.0,0.1956521739130435
14,0.1,1098,12076,1098,10978,1.0,0.09092414706856575
14,0.2,542,4699,542,4157,1.0,0.11534369014683975
14,0.3,342,1817,342,1475,1.0,0.18822234452394057
15,0.1,1098,12152,1098,11054,1.0,0.09035549703752468
15,0.2,542,5236,542,4694,1.0,0.10351413292589763
15,0.3,342,2054,342,1712,1.0,0.1665043816942551
16,0.1,1098,12116,1098,11018,1.0,0.09062396830637175
16,0.2,542,5238,542,4696,1.0,0.1034746086292478
16,0.3,342,2197,342,1855,1.0,0.15566681838871188
17,0.1,1098,10212,1098,9114,1.0,0.10752056404230317
17,0.2,542,4505,542,3963,1.0,0.12031076581576026
17,0.3,342,1956,342,1614,1.0,0.17484662576687116
18,0.1,1098,11532,1098,10434,1.0,0.09521331945889698
18,0.2,542,4552,542,4010,1.0,0.11906854130052724
18,0.3,342,1897,342,1555,1.0,0.18028465998945703
19,0.1,1098,12508,1098,11410,1.0,0.087783818356252
19,0.2,542,5513,542,4971,1.0,0.09831307817884999
19,0.3,342,2347,342,2005,1.0,0.14571793779292713
20,0.1,1098,11679,1098,10581,1.0,0.09401489853583354
20,0.2,542,5125,542,4583,1.0,0.1057560975609756
20,0.3,342,2095,342,1753,1.0,0.16324582338902147
21,0.1,1098,11782,1098,10684,1.0,0.09319300628076727
21,0.2,542,4904,542,4362,1.0,0.11052202283849918
21,0.3,342,2194,342,1852,1.0,0.15587967183226983
22,0.1,1098,11328,1098,10230,1.0,0.09692796610169492
22,0.2,542,4647,542,4105,1.0,0.11663438777706046
22,0.3,342,2022,342,1680,1.0,0.16913946587537093
23,0.1,1098,10846,1098,9748,1.0,0.10123547851742577
23,0.2,542,5010,542,4468,1.0,0.10818363273453094
23,0.3,342,2150,342,1808,1.0,0.15906976744186047
24,0.1,1098,12390,1098,11292,1.0,0.08861985472154964
24,0.2,542,5356,542,4814,1.0,0.10119492158327109
