graph_id,eligible_dyad_count,complete_bootstrap_dyad_count,graph_bootstrap_complete
2023_01_education_binary_higher,45,45,True
2023_01_education_binary_lower,45,45,True
2023_02_education_binary_higher,45,45,True
2023_02_education_binary_lower,36,36,True
2023_04_education_binary_higher,45,45,True
2023_04_education_binary_lower,45,45,True
2023_05_education_binary_higher,45,45,True
2023_05_education_binary_lower,45,45,True
2023_06_education_binary_higher,45,45,True
2023_06_education_binary_lower,44,44,True
2023_08_education_binary_higher,45,45,True
2023_08_education_binary_lower,40,40,True
2023_09_education_binary_higher,45,45,True
2023_09_education_binary_lower,42,42,True
2023_10_education_binary_higher,45,45,True
2023_10_education_binary_lower,43,43,True
2023_12_education_binary_higher,45,45,True
2023_12_education_binary_lower,45,45,True
2023_13_education_binary_higher,45,45,True
2023_13_education_binary_lower,45,45,True
2023_15_education_binary_higher,45,45,True
2023_15_education_binary_lower,43,43,True
2023_16_education_binary_higher,45,45,True
2023_16_education_binary_lower,43,43,True
2023_17_education_binary_higher,45,45,True
2023_17_education_binary_lower,39,39,True
2023_18_education_binary_higher,45,45,True
2023_18_education_binary_lower,45,45,True
2023_19_education_binary_higher,45,45,True
2023_19_education_binary_lower,45,45,True
2023_20_education_binary_higher,45,45,True
2023_20_education_binary_lower,45,45,True
2023_22_education_binary_higher,45,45,True
2023_22_education_binary_lower,45,45,True
2023_23_education_binary_higher,45,45,True
2023_23_education_binary_lower,45,45,True
2023_24_education_binary_higher,45,45,True
2023_24_education_binary_lower,45,45,True
2023_25_education_binary_higher,45,45,True
2023_25_education_binary_lower,43,43,True
2023_26_education_binary_higher,45,45,True
2023_26_education_binary_lower,45,45,True
2023_27_education_binary_higher,45,45,True
2023_27_education_binary_lower,45,45,True
2023_28_education_binary_higher,45,45,True
2023_28_education_binary_lower,36,36,True
2023_29_education_binary_higher,45,45,True
2023_29_education_binary_lower,45,45,True
2023_30_education_binary_higher,45,45,True
2023_30_education_binary_lower,45,45,True
2023_31_education_binary_higher,45,45,True
2023_31_education_binary_lower,45,45,True
2023_33_education_binary_higher,45,45,True
2023_33_education_binary_lower,45,45,True
2023_34_education_binary_higher,45,45,True
2023_34_education_binary_lower,45,45,True
2023_35_education_binary_higher,44,44,True
2023_35_education_binary_lower,35,35,True
2023_36_education_binary_higher,45,45,True
2023_36_education_binary_lower,45,45,True
2023_37_education_binary_higher,45,45,True
2023_37_education_binary_lower,42,42,True
2023_38_education_binary_higher,45,45,True
2023_38_education_binary_lower,44,44,True
2023_39_education_binary_higher,45,45,True
2023_39_education_binary_lower,45,45,True
2023_40_education_binary_higher,45,45,True
2023_40_education_binary_lower,45,45,True
2023_41_education_binary_higher,45,45,True
2023_41_education_binary_lower,43,43,True
2023_44_education_binary_higher,45,45,True
2023_44_education_binary_lower,44,44,True
2023_45_education_binary_higher,45,45,True
2023_45_education_binary_lower,45,45,True
2023_46_education_binary_higher,45,45,True
2023_46_education_binary_lower,45,45,True
2023_47_education_binary_higher,45,45,True
2023_47_education_binary_lower,45,45,True
2023_48_education_binary_higher,45,45,True
2023_48_education_binary_lower,45,45,True
2023_49_education_binary_higher,45,45,True
2023_49_education_binary_lower,45,45,True
2023_50_education_binary_higher,45,45,True
2023_50_education_binary_lower,44,44,True
2023_51_education_binary_higher,45,45,True
2023_51_education_binary_lower,45,45,True
2023_53_education_binary_higher,45,45,True
2023_53_education_binary_lower,45,45,True
2023_54_education_binary_higher,45,45,True
2023_54_education_binary_lower,45,45,True
2023_55_education_binary_higher,45,45,True
2023_55_education_binary_lower,45,45,True
2023_56_education_binary_higher,45,45,True
2023_56_education_binary_lower,42,42,True
