occurrence_class_id,robust_motif_count,representative_motif_id,representative_node_count,representative_edge_count,representative_node_labels,representative_edge_list,representative_is_closed,representative_is_maximal,member_motif_ids,replication_member_count,replicated_member_count,minimum_replication_support,median_replication_support,maximum_replication_support,representative_replication_paired_state_count,representative_replication_support_fraction,representative_replicated_at_20pct
occ_00affd6fd0057d51,2,motif_cafa14125e4d3e91,5,5,"[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""]]",True,False,"[""motif_92462db061392ae7"",""motif_cafa14125e4d3e91""]",2,2,0.2127659574468085,0.21808510638297873,0.22340425531914893,47,0.2127659574468085,True
occ_0188103b1fa6cc15,2,motif_515f2a2b2aaee61d,5,5,"[""ARTHRITIS"",""COPD"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]]",True,False,"[""motif_515f2a2b2aaee61d"",""motif_90e3cc1dcf4e3b79""]",2,2,0.2553191489361702,0.2606382978723404,0.26595744680851063,47,0.2553191489361702,True
occ_020686f31f7797e8,2,motif_ebed88d2a144263b,5,5,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""OTHER_CANCER""]","[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""OTHER_CANCER""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""]]",True,False,"[""motif_0e63e1f3da53f70b"",""motif_ebed88d2a144263b""]",2,2,0.3191489361702128,0.3351063829787234,0.35106382978723405,47,0.3191489361702128,True
occ_026459d48491f0f8,1,motif_39ec7fe0f96a2be6,4,3,"[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]","[[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]]",True,False,"[""motif_39ec7fe0f96a2be6""]",1,1,0.3191489361702128,0.3191489361702128,0.3191489361702128,47,0.3191489361702128,True
occ_0266e32c5c1a1fc4,1,motif_594088dea3ed99ad,5,4,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]","[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]]",True,False,"[""motif_594088dea3ed99ad""]",1,1,0.30851063829787234,0.30851063829787234,0.30851063829787234,47,0.30851063829787234,True
occ_031a2a72952c9383,1,motif_9136b5cad501c9c7,3,2,"[""ARTHRITIS"",""COPD"",""OTHER_CANCER""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""OTHER_CANCER""]]",True,False,"[""motif_9136b5cad501c9c7""]",1,1,0.6702127659574468,0.6702127659574468,0.6702127659574468,47,0.6702127659574468,True
occ_0408c835608f2652,2,motif_fe7681306acbdcba,5,4,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""OTHER_CANCER"",""SKIN_CANCER""]","[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""SKIN_CANCER""],[""OTHER_CANCER"",""SKIN_CANCER""]]",True,False,"[""motif_260b9ee8cedf65ab"",""motif_fe7681306acbdcba""]",2,2,0.26595744680851063,0.26595744680851063,0.26595744680851063,47,0.26595744680851063,True
occ_0726388ad22f3b57,1,motif_f5528311f24310da,5,4,"[""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]","[[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]]",True,False,"[""motif_f5528311f24310da""]",1,1,0.32978723404255317,0.32978723404255317,0.32978723404255317,47,0.32978723404255317,True
occ_074adfd60e6198cc,2,motif_d73c4c050c515690,5,6,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""OTHER_CANCER""]","[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""OTHER_CANCER""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]]",True,False,"[""motif_d73c4c050c515690"",""motif_e9f2800f2f4139b5""]",2,0,0.1956521739130435,0.1956521739130435,0.1956521739130435,46,0.1956521739130435,False
occ_080b040d19c3f981,4,motif_03815a9e83d32c65,5,5,"[""ARTHRITIS"",""COPD"",""CURRENT_ASTHMA"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""CURRENT_ASTHMA""],[""COPD"",""ISCHEMIC_HEART_DISEASE""]]",True,False,"[""motif_03815a9e83d32c65"",""motif_144357e970631bdc"",""motif_747d5d7b30279f2d"",""motif_da6a723978c7cfb8""]",4,4,0.26595744680851063,0.28191489361702127,0.2978723404255319,47,0.26595744680851063,True
