motif_id,canonical_sha256,canonical_payload,node_count,edge_count,node_labels,canonical_edges,occurrence_class_id,robust_occurrence_representative,is_closed,is_maximal,discovery_support_count,discovery_support_fraction,discovery_distinct_state_support_count,discovery_paired_state_count,discovery_p_boot_support_20pct,discovery_bootstrap_support_mean,discovery_bootstrap_support_025,discovery_bootstrap_support_975,replication_paired_state_count,replication_evaluable_graph_count,replication_support_count,replication_support_fraction,replication_distinct_state_support_count,replication_graph_ids,replicated_at_20pct,support_fraction_difference_2023_minus_2024
motif_010b3c71bdbcf2a6,010b3c71bdbcf2a60ce2c1b648d65751d204bbcf5b3f9c78128b0f82d166a734,"{""edges"":[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]],""nodes"":[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",5,5,"[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]]",occ_22d749dacfbef109,True,True,False,32,0.3404255319148936,24,47,1.0,30.336,27.0,32.0,46,92,27,0.29347826086956524,22,"[""2023_01_education_binary_lower"",""2023_05_education_binary_higher"",""2023_05_education_binary_lower"",""2023_12_education_binary_higher"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_20_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_higher"",""2023_26_education_binary_higher"",""2023_28_education_binary_lower"",""2023_31_education_binary_higher"",""2023_36_education_binary_lower"",""2023_37_education_binary_lower"",""2023_38_education_binary_higher"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_45_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower"",""2023_54_education_binary_higher"",""2023_54_education_binary_lower""]",True,-0.046947271045328365
motif_0145829533663255,014582953366325539b7f4c997b84ccd5dffeaa11c519ab4017f6363b3019c99,"{""edges"":[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""OTHER_CANCER""],[""DIABETES"",""KIDNEY_DISEASE""]],""nodes"":[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""OTHER_CANCER""]}",5,4,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""OTHER_CANCER""]","[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""OTHER_CANCER""],[""DIABETES"",""KIDNEY_DISEASE""]]",occ_45cb7dfadbc7ce1e,True,True,False,45,0.4787234042553192,30,47,1.0,42.684,40.0,45.0,47,94,35,0.3723404255319149,27,"[""2023_01_education_binary_lower"",""2023_02_education_binary_higher"",""2023_04_education_binary_higher"",""2023_05_education_binary_lower"",""2023_10_education_binary_lower"",""2023_12_education_binary_lower"",""2023_13_education_binary_lower"",""2023_16_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_19_education_binary_lower"",""2023_20_education_binary_higher"",""2023_23_education_binary_higher"",""2023_23_education_binary_lower"",""2023_24_education_binary_higher"",""2023_24_education_binary_lower"",""2023_25_education_binary_higher"",""2023_26_education_binary_higher"",""2023_26_education_binary_lower"",""2023_31_education_binary_higher"",""2023_33_education_binary_lower"",""2023_37_education_binary_lower"",""2023_38_education_binary_higher"",""2023_38_education_binary_lower"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_41_education_binary_higher"",""2023_45_education_binary_higher"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_higher"",""2023_53_education_binary_lower"",""2023_54_education_binary_lower"",""2023_55_education_binary_higher""]",True,-0.1063829787234043
motif_018c4efb7ab2990c,018c4efb7ab2990c29f1a1ef2e99897519b10a7026a9227ccef2066baf17b7de,"{""edges"":[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]],""nodes"":[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",5,6,"[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]]",occ_8570c94f65c1fa7f,True,True,False,28,0.2978723404255319,22,47,1.0,26.074,23.0,28.0,46,92,20,0.21739130434782608,17,"[""2023_01_education_binary_lower"",""2023_05_education_binary_lower"",""2023_12_education_binary_higher"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_higher"",""2023_26_education_binary_higher"",""2023_31_education_binary_higher"",""2023_37_education_binary_lower"",""2023_38_education_binary_higher"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower"",""2023_54_education_binary_lower""]",True,-0.08048103607770582
motif_022aef1c1df514fd,022aef1c1df514fddaee8136fc29ee9e1c46759f6fd1091c97ceb87f8d42e870,"{""edges"":[[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""]],""nodes"":[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",4,3,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""DIABETES"",""KIDNEY_DISEASE""]]",occ_56cd1446b0633939,True,True,False,55,0.5851063829787234,37,47,1.0,53.038,50.0,55.0,47,94,41,0.43617021276595747,32,"[""2023_01_education_binary_higher"",""2023_01_education_binary_lower"",""2023_04_education_binary_higher"",""2023_04_education_binary_lower"",""2023_05_education_binary_lower"",""2023_06_education_binary_higher"",""2023_08_education_binary_lower"",""2023_09_education_binary_lower"",""2023_12_education_binary_higher"",""2023_13_education_binary_lower"",""2023_16_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_19_education_binary_higher"",""2023_19_education_binary_lower"",""2023_20_education_binary_higher"",""2023_22_education_binary_lower"",""2023_23_education_binary_higher"",""2023_23_education_binary_lower"",""2023_24_education_binary_higher"",""2023_24_education_binary_lower"",""2023_25_education_binary_higher"",""2023_26_education_binary_higher"",""2023_31_education_binary_higher"",""2023_33_education_binary_lower"",""2023_37_education_binary_lower"",""2023_38_education_binary_higher"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_41_education_binary_higher"",""2023_45_education_binary_higher"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_50_education_binary_higher"",""2023_51_education_binary_lower"",""2023_53_education_binary_higher"",""2023_53_education_binary_lower"",""2023_54_education_binary_lower"",""2023_55_education_binary_higher""]",True,-0.14893617021276595
motif_027ba7efe2fe2e56,027ba7efe2fe2e560359c4aa66d1d72e33c92d9ac6160c3885eec7bc9bc2946f,"{""edges"":[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]],""nodes"":[""ARTHRITIS"",""COPD"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]}",5,5,"[""ARTHRITIS"",""COPD"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]]",occ_7037578bc5ccb24e,True,True,False,34,0.3617021276595745,25,47,1.0,31.876,29.0,34.0,46,92,29,0.31521739130434784,21,"[""2023_01_education_binary_lower"",""2023_05_education_binary_higher"",""2023_05_education_binary_lower"",""2023_12_education_binary_higher"",""2023_12_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_20_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_higher"",""2023_26_education_binary_higher"",""2023_31_education_binary_higher"",""2023_31_education_binary_lower"",""2023_36_education_binary_lower"",""2023_37_education_binary_lower"",""2023_38_education_binary_higher"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_40_education_binary_lower"",""2023_45_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower"",""2023_54_education_binary_higher"",""2023_54_education_binary_lower""]",True,-0.04648473635522665
motif_029c13843bbf61d1,029c13843bbf61d1bd6e338ad1b77386d7ca618fe1911c3df8a7924da8ca12a6,"{""edges"":[[""ARTHRITIS"",""COPD""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]],""nodes"":[""ARTHRITIS"",""COPD"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",4,3,"[""ARTHRITIS"",""COPD"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""COPD"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]]",occ_1b89bcda5c98ef5a,True,True,False,37,0.3936170212765957,28,47,1.0,35.214,32.0,37.0,46,92,31,0.33695652173913043,23,"[""2023_01_education_binary_lower"",""2023_05_education_binary_higher"",""2023_05_education_binary_lower"",""2023_10_education_binary_higher"",""2023_12_education_binary_higher"",""2023_12_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_20_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_higher"",""2023_26_education_binary_higher"",""2023_28_education_binary_lower"",""2023_31_education_binary_higher"",""2023_31_education_binary_lower"",""2023_36_education_binary_lower"",""2023_37_education_binary_lower"",""2023_38_education_binary_higher"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_40_education_binary_lower"",""2023_45_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower"",""2023_54_education_binary_higher"",""2023_54_education_binary_lower""]",True,-0.05666049953746527
motif_0340aaab0dccc1f1,0340aaab0dccc1f13fc23c45cd010b529e238369f81ccc3490405f7f9356baee,"{""edges"":[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]],""nodes"":[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",5,4,"[""ARTHRITIS"",""COPD"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]]",occ_ec045d416653f3d2,True,True,False,23,0.2446808510638297,17,47,0.998,21.762,19.0,23.0,46,92,19,0.20652173913043478,15,"[""2023_01_education_binary_lower"",""2023_05_education_binary_lower"",""2023_10_education_binary_higher"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_22_education_binary_lower"",""2023_37_education_binary_lower"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_40_education_binary_lower"",""2023_41_education_binary_lower"",""2023_45_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower""]",True,-0.03815911193339491
motif_03815a9e83d32c65,03815a9e83d32c655185e5d69abc353a870ee5ba746d160341ca58b8e10cd69a,"{""edges"":[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""CURRENT_ASTHMA""],[""COPD"",""ISCHEMIC_HEART_DISEASE""]],""nodes"":[""ARTHRITIS"",""COPD"",""CURRENT_ASTHMA"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",5,5,"[""ARTHRITIS"",""COPD"",""CURRENT_ASTHMA"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""CURRENT_ASTHMA""],[""COPD"",""ISCHEMIC_HEART_DISEASE""]]",occ_080b040d19c3f981,True,True,False,30,0.3191489361702128,21,47,1.0,28.89,26.0,30.0,47,94,25,0.26595744680851063,19,"[""2023_01_education_binary_lower"",""2023_05_education_binary_lower"",""2023_13_education_binary_higher"",""2023_13_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_19_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_lower"",""2023_25_education_binary_higher"",""2023_26_education_binary_lower"",""2023_27_education_binary_lower"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_40_education_binary_lower"",""2023_45_education_binary_higher"",""2023_45_education_binary_lower"",""2023_46_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower""]",True,-0.05319148936170215
motif_038ad01f2250792b,038ad01f2250792b2149afd1279a72c172152d0355ceb98f095db80fd85674d2,"{""edges"":[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""CURRENT_ASTHMA""],[""COPD"",""ISCHEMIC_HEART_DISEASE""]],""nodes"":[""ARTHRITIS"",""COPD"",""CURRENT_ASTHMA"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]}",5,4,"[""ARTHRITIS"",""COPD"",""CURRENT_ASTHMA"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE""]","[[""ARTHRITIS"",""COPD""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""COPD"",""CURRENT_ASTHMA""],[""COPD"",""ISCHEMIC_HEART_DISEASE""]]",occ_a823e7fc3f0094cf,True,True,False,31,0.3297872340425531,22,47,1.0,29.89,28.0,31.0,47,94,26,0.2765957446808511,20,"[""2023_01_education_binary_lower"",""2023_05_education_binary_lower"",""2023_13_education_binary_higher"",""2023_13_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_19_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_lower"",""2023_25_education_binary_higher"",""2023_26_education_binary_lower"",""2023_27_education_binary_lower"",""2023_29_education_binary_higher"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_40_education_binary_lower"",""2023_45_education_binary_higher"",""2023_45_education_binary_lower"",""2023_46_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_lower""]",True,-0.05319148936170204
motif_03a86f20681e50ea,03a86f20681e50ea21c9bf7fdcdfcee44212289fe50476af58348bfcdf065f0c,"{""edges"":[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]],""nodes"":[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]}",5,5,"[""ARTHRITIS"",""DIABETES"",""ISCHEMIC_HEART_DISEASE"",""KIDNEY_DISEASE"",""STROKE""]","[[""ARTHRITIS"",""DIABETES""],[""ARTHRITIS"",""ISCHEMIC_HEART_DISEASE""],[""ARTHRITIS"",""KIDNEY_DISEASE""],[""DIABETES"",""ISCHEMIC_HEART_DISEASE""],[""ISCHEMIC_HEART_DISEASE"",""STROKE""]]",occ_ab8e4f4003bc2981,True,True,False,31,0.3297872340425531,20,47,1.0,29.988,28.0,31.0,47,94,24,0.2553191489361702,19,"[""2023_01_education_binary_lower"",""2023_04_education_binary_higher"",""2023_05_education_binary_lower"",""2023_13_education_binary_lower"",""2023_18_education_binary_higher"",""2023_18_education_binary_lower"",""2023_19_education_binary_lower"",""2023_22_education_binary_lower"",""2023_23_education_binary_lower"",""2023_25_education_binary_higher"",""2023_27_education_binary_lower"",""2023_37_education_binary_lower"",""2023_39_education_binary_higher"",""2023_39_education_binary_lower"",""2023_40_education_binary_higher"",""2023_45_education_binary_higher"",""2023_45_education_binary_lower"",""2023_47_education_binary_higher"",""2023_47_education_binary_lower"",""2023_48_education_binary_lower"",""2023_49_education_binary_lower"",""2023_51_education_binary_lower"",""2023_53_education_binary_higher"",""2023_53_education_binary_lower""]",True,-0.07446808510638292
