graph_id,year,geography_code,geography,ses_definition,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,eligibility_status,stratum_eligibility_status
2023_01_education_binary_lower,2023,1,Alabama,education_binary,lower,1583,1779471.2671896715,889.5809020427473,33,1583,eligible,eligible
2023_01_education_binary_higher,2023,1,Alabama,education_binary,higher,2770,2236686.80003926,1587.3770620501202,35,2770,eligible,eligible
2023_02_education_binary_lower,2023,2,Alaska,education_binary,lower,1648,209771.90397059033,902.5479246070097,31,1648,eligible,eligible
2023_02_education_binary_higher,2023,2,Alaska,education_binary,higher,3840,346679.4727569277,1936.085436222685,32,3840,eligible,eligible
2023_04_education_binary_lower,2023,4,Arizona,education_binary,lower,3348,2174843.4182052123,1443.4519614864193,38,3348,eligible,eligible
2023_04_education_binary_higher,2023,4,Arizona,education_binary,higher,8617,3674759.287852784,3590.4881867445188,42,8617,eligible,eligible
2023_05_education_binary_lower,2023,5,Arkansas,education_binary,lower,2095,1124061.888971272,1169.7577722541816,16,2095,eligible,eligible
2023_05_education_binary_higher,2023,5,Arkansas,education_binary,higher,3229,1242273.8018632354,1916.887577900071,17,3229,eligible,eligible
2023_06_education_binary_lower,2023,6,California,education_binary,lower,3444,11665651.334224565,1870.5913394680613,24,3444,eligible,eligible
2023_06_education_binary_higher,2023,6,California,education_binary,higher,8442,19108671.941784907,3282.2891800174693,29,8442,eligible,eligible
2023_08_education_binary_lower,2023,8,Colorado,education_binary,lower,2166,1421513.100921194,1374.325740124114,41,2166,eligible,eligible
2023_08_education_binary_higher,2023,8,Colorado,education_binary,higher,6558,3243612.0876662442,4052.7222979508665,54,6558,eligible,eligible
2023_09_education_binary_lower,2023,9,Connecticut,education_binary,lower,2484,1056632.8085605553,1064.9563740352228,33,2484,eligible,eligible
2023_09_education_binary_higher,2023,9,Connecticut,education_binary,higher,6943,1854741.0969760702,2774.5779545502733,35,6943,eligible,eligible
2023_10_education_binary_lower,2023,10,Delaware,education_binary,lower,1352,332547.64421699295,662.8866343178324,12,1352,eligible,eligible
2023_10_education_binary_higher,2023,10,Delaware,education_binary,higher,2917,495296.53652251675,1266.6369862049462,13,2917,eligible,eligible
2023_11_education_binary_lower,2023,11,District of Columbia,education_binary,lower,540,129456.51488085763,228.61941477475816,4,540,insufficient sample,insufficient sample
2023_11_education_binary_higher,2023,11,District of Columbia,education_binary,higher,2647,432552.24995745264,1324.4170929661548,5,2647,paired SES stratum ineligible,eligible
2023_12_education_binary_lower,2023,12,Florida,education_binary,lower,4450,7238526.288181935,1007.3143401249974,217,4450,eligible,eligible
2023_12_education_binary_higher,2023,12,Florida,education_binary,higher,8714,11068508.779242966,2047.23915747874,236,8714,eligible,eligible
2023_13_education_binary_lower,2023,13,Georgia,education_binary,lower,2694,3502257.6836149776,1190.9414973154958,83,2694,eligible,eligible
2023_13_education_binary_higher,2023,13,Georgia,education_binary,higher,5491,5089916.195961442,2492.6614429403166,83,5491,eligible,eligible
2023_15_education_binary_lower,2023,15,Hawaii,education_binary,lower,2133,412466.5444698086,956.8006393450704,16,2133,eligible,eligible
2023_15_education_binary_higher,2023,15,Hawaii,education_binary,higher,5679,741031.6377938896,2653.8858119467513,17,5679,eligible,eligible
2023_16_education_binary_lower,2023,16,Idaho,education_binary,lower,2548,565204.5857607702,1387.951264763532,39,2548,eligible,eligible
2023_16_education_binary_higher,2023,16,Idaho,education_binary,higher,4312,937187.7520668564,2240.869603739623,39,4312,eligible,eligible
2023_17_education_binary_lower,2023,17,Illinois,education_binary,lower,1579,3661945.211728378,933.3976023307557,16,1579,eligible,eligible
2023_17_education_binary_higher,2023,17,Illinois,education_binary,higher,3683,6215412.040189639,1870.053191138121,19,3683,eligible,eligible
2023_18_education_binary_lower,2023,18,Indiana,education_binary,lower,4035,2367566.396453646,2490.241312054875,43,4035,eligible,eligible
2023_18_education_binary_higher,2023,18,Indiana,education_binary,higher,6907,2931069.804920858,4385.594585957439,41,6907,eligible,eligible
2023_19_education_binary_lower,2023,19,Iowa,education_binary,lower,3391,956522.2022220475,1918.7920022260444,27,3391,eligible,eligible
2023_19_education_binary_higher,2023,19,Iowa,education_binary,higher,5450,1531741.240312905,3280.2082882091845,27,5450,eligible,eligible
2023_20_education_binary_lower,2023,20,Kansas,education_binary,lower,2818,818780.3017217501,1448.8515818836618,37,2818,eligible,eligible
2023_20_education_binary_higher,2023,20,Kansas,education_binary,higher,7036,1440530.6148868888,4062.1650745398874,39,7036,eligible,eligible
2023_21_education_binary_lower,2023,21,Kentucky,education_binary,lower,0,0.0,,0,0,no reporting data,no reporting data
2023_21_education_binary_higher,2023,21,Kentucky,education_binary,higher,0,0.0,,0,0,no reporting data,no reporting data
2023_22_education_binary_lower,2023,22,Louisiana,education_binary,lower,2067,1686271.5687103025,1223.8095028905161,48,2067,eligible,eligible
